# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3853728034
#
# Overhead  Command     Shared Object         Symbol                                   
# ........  ..........  ....................  .........................................
#
     0.04%  python3.10  [kernel.kallsyms]     [k] copy_clone_args_from_user
     0.04%  python3.10  [kernel.kallsyms]     [k] obj_cgroup_charge_pages
     0.04%  python3.10  [kernel.kallsyms]     [k] x86_get_event_constraints
     0.04%  python3.10  python3.10            [.] 0x0000000000172c56
     0.04%  python3.10  python3.10            [.] PyLong_FromString
     0.04%  python3.10  libc.so.6             [.] ____wcstod_l_internal
     0.04%  python3.10  [kernel.kallsyms]     [k] enqueue_entity
     0.04%  python3.10  python3.10            [.] 0x00000000001215c8
     0.04%  python3.10  python3.10            [.] 0x000000000020bec2
     0.04%  python3.10  python3.10            [.] 0x000000000015efdc
     0.04%  python3.10  [kernel.kallsyms]     [k] x86_pmu_event_init
     0.03%  python3.10  python3.10            [.] 0x00000000001215ed
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_iterate_ctx
     0.03%  python3.10  python3.10            [.] 0x000000000018d113
     0.03%  python3.10  python3.10            [.] PyList_Append
     0.03%  python3.10  python3.10            [.] PyObject_SetAttr
     0.03%  python3.10  [kernel.kallsyms]     [k] ctx_sched_in
     0.03%  python3.10  [kernel.kallsyms]     [k] asm_exc_page_fault
     0.03%  python3.10  libc.so.6             [.] __strncpy_sse2_unaligned
     0.03%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  [kernel.kallsyms]     [k] __x64_sys_futex
     0.03%  python3.10  [kernel.kallsyms]     [k] try_to_wake_up
     0.03%  python3.10  [kernel.kallsyms]     [k] iterate_groups
     0.03%  python3.10  [kernel.kallsyms]     [k] __cond_resched
     0.03%  python3.10  [kernel.kallsyms]     [k] free_swap_cache
     0.03%  python3.10  [kernel.kallsyms]     [k] idr_get_free
     0.03%  python3.10  [kernel.kallsyms]     [k] inherit_task_group.isra.0
     0.03%  python3.10  [kernel.kallsyms]     [k] native_write_msr_safe
     0.03%  python3.10  [kernel.kallsyms]     [k] task_change_group_fair
     0.03%  python3.10  [kernel.kallsyms]     [k] unlink_file_vma
     0.03%  python3.10  libcrypto.so.3        [.] SHA256_Update
     0.03%  python3.10  python3.10            [.] PyErr_Restore
     0.03%  python3.10  python3.10            [.] PyMem_Malloc
     0.03%  python3.10  python3.10            [.] 0x000000000011b4eb
     0.03%  python3.10  python3.10            [.] 0x000000000015f01d
     0.03%  python3.10  python3.10            [.] 0x00000000001f6001
     0.03%  python3.10  python3.10            [.] _PyUnicode_InsertThousandsGrouping
     0.03%  python3.10  [kernel.kallsyms]     [k] dequeue_task_fair
     0.03%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.03%  python3.10  [kernel.kallsyms]     [k] find_vma_prev
     0.03%  python3.10  python3.10            [.] 0x000000000018d155
     0.03%  python3.10  [kernel.kallsyms]     [k] exit_to_user_mode_loop
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_pmu_nop_txn
     0.03%  python3.10  libc.so.6             [.] 0x00000000001a1100
     0.03%  python3.10  [kernel.kallsyms]     [k] rcu_all_qs
     0.03%  python3.10  libc.so.6             [.] __stpncpy_sse2_unaligned
     0.02%  python3.10  python3.10            [.] 0x0000000000121599
     0.02%  python3.10  python3.10            [.] 0x0000000000188d36
     0.02%  python3.10  python3.10            [.] PyUnicode_FromFormatV
     0.02%  python3.10  python3.10            [.] 0x0000000000188dec
     0.02%  python3.10  [kernel.kallsyms]     [k] get_futex_key
     0.02%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.02%  python3.10  [kernel.kallsyms]     [k] set_next_entity
     0.02%  python3.10  python3.10            [.] 0x00000000001215b2
     0.02%  python3.10  python3.10            [.] _PyObject_LookupSpecial
     0.02%  python3.10  python3.10            [.] 0x0000000000206c70
     0.02%  python3.10  python3.10            [.] 0x0000000000188dd7
     0.02%  python3.10  [kernel.kallsyms]     [k] do_futex
     0.02%  python3.10  [kernel.kallsyms]     [k] copy_user_enhanced_fast_string
     0.02%  python3.10  python3.10            [.] 0x0000000000137bfc
     0.02%  python3.10  python3.10            [.] 0x000000000018d1e2
     0.02%  python3.10  python3.10            [.] PyList_New
     0.02%  python3.10  libc.so.6             [.] parse_expression
     0.02%  python3.10  [kernel.kallsyms]     [k] pick_next_task_fair
     0.02%  python3.10  [kernel.kallsyms]     [k] cpuacct_charge
     0.02%  python3.10  [kernel.kallsyms]     [k] cyc2ns_read_begin
     0.02%  python3.10  [kernel.kallsyms]     [k] futex_wait
     0.02%  python3.10  [kernel.kallsyms]     [k] mark_wake_futex
     0.02%  python3.10  [kernel.kallsyms]     [k] psi_task_change
     0.02%  python3.10  python3.10            [.] 0x0000000000152321
     0.02%  python3.10  python3.10            [.] 0x000000000015b520
     0.02%  python3.10  python3.10            [.] 0x000000000015ef7f
     0.02%  python3.10  python3.10            [.] 0x000000000017f872
     0.02%  python3.10  python3.10            [.] 0x000000000017f87a
     0.02%  python3.10  python3.10            [.] 0x000000000018c0d9
     0.02%  python3.10  python3.10            [.] 0x000000000018d0c7
     0.02%  python3.10  python3.10            [.] 0x000000000027db1f
     0.02%  python3.10  [kernel.kallsyms]     [k] memcpy_erms
     0.02%  python3.10  [kernel.kallsyms]     [k] sched_fork
     0.02%  python3.10  python3.10            [.] PyTraceBack_Here
     0.02%  python3.10  python3.10            [.] 0x000000000017c410
     0.02%  python3.10  [kernel.kallsyms]     [k] security_perf_event_alloc
     0.02%  python3.10  python3.10            [.] 0x0000000000188e95
     0.02%  python3.10  python3.10            [.] 0x000000000020beaa
     0.02%  python3.10  python3.10            [.] 0x000000000015efe1
     0.02%  python3.10  python3.10            [.] 0x00000000001740a7
     0.02%  python3.10  python3.10            [.] 0x00000000001740be
     0.02%  python3.10  python3.10            [.] 0x0000000000243814
     0.02%  python3.10  python3.10            [.] _PyUnicodeWriter_PrepareInternal
     0.02%  python3.10  [kernel.kallsyms]     [k] hrtimer_active
     0.02%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]     [k] intel_cpuc_finish
     0.02%  python3.10  [kernel.kallsyms]     [k] ttwu_do_activate
     0.02%  python3.10  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.0
     0.02%  python3.10  [kernel.kallsyms]     [k] enqueue_task_fair
     0.02%  python3.10  python3.10            [.] PyNumber_Xor
     0.02%  python3.10  python3.10            [.] 0x00000000001339ef
     0.02%  python3.10  python3.10            [.] 0x00000000001674d9
     0.02%  python3.10  python3.10            [.] 0x00000000001732ee
     0.02%  python3.10  python3.10            [.] 0x000000000017c386
     0.02%  python3.10  python3.10            [.] 0x000000000018bfea
     0.02%  python3.10  python3.10            [.] 0x00000000001595f4
     0.02%  python3.10  [kernel.kallsyms]     [k] __lock_text_start
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_output_end
     0.01%  python3.10  [kernel.kallsyms]     [k] should_failslab
     0.01%  python3.10  python3.10            [.] 0x00000000001740bb
     0.01%  python3.10  [kernel.kallsyms]     [k] __rseq_handle_notify_resume
     0.01%  python3.10  python3.10            [.] 0x00000000001433cc
     0.01%  python3.10  [kernel.kallsyms]     [k] _copy_from_user
     0.01%  python3.10  [kernel.kallsyms]     [k] init_dl_inactive_task_timer
     0.01%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node_trace
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_lock_task_context
     0.01%  python3.10  [kernel.kallsyms]     [k] task_tick_fair
     0.01%  python3.10  [kernel.kallsyms]     [k] update_sg_wakeup_stats
     0.01%  python3.10  ld-linux-x86-64.so.2  [.] _dl_check_map_versions
     0.01%  python3.10  python3.10            [.] 0x000000000011ff0a
     0.01%  python3.10  python3.10            [.] 0x000000000012b274
     0.01%  python3.10  python3.10            [.] 0x000000000015b546
     0.01%  python3.10  python3.10            [.] 0x000000000015d254
     0.01%  python3.10  python3.10            [.] 0x000000000015effa
     0.01%  python3.10  python3.10            [.] 0x000000000017c3aa
     0.01%  python3.10  python3.10            [.] 0x000000000017c3ef
     0.01%  python3.10  python3.10            [.] 0x000000000018928c
     0.01%  python3.10  python3.10            [.] 0x000000000018d0fb
     0.01%  python3.10  [kernel.kallsyms]     [k] update_curr
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_exclude_event
     0.01%  python3.10  python3.10            [.] 0x00000000001732c6
     0.01%  python3.10  python3.10            [.] 0x00000000001770b3
     0.01%  python3.10  python3.10            [.] 0x00000000001d4955
     0.01%  python3.10  python3.10            [.] 0x0000000000206969
     0.01%  python3.10  [kernel.kallsyms]     [k] lapic_next_deadline
     0.01%  python3.10  [kernel.kallsyms]     [k] hash_futex
     0.01%  python3.10  libc.so.6             [.] round_and_return
     0.01%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.01%  python3.10  python3.10            [.] 0x000000000028e0c0
     0.01%  python3.10  libc.so.6             [.] __strstr_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_user_generic_unrolled
     0.01%  python3.10  [kernel.kallsyms]     [k] run_rebalance_domains
     0.01%  python3.10  python3.10            [.] 0x0000000000122820
     0.01%  python3.10  python3.10            [.] 0x0000000000169eda
     0.01%  python3.10  python3.10            [.] 0x000000000017c3fc
     0.01%  python3.10  [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.01%  python3.10  [kernel.kallsyms]     [k] sched_clock_cpu
     0.01%  python3.10  [kernel.kallsyms]     [k] pick_next_entity
     0.01%  python3.10  [kernel.kallsyms]     [k] update_rt_rq_load_avg
     0.01%  python3.10  [kernel.kallsyms]     [k] check_cpu_stall
     0.01%  python3.10  [kernel.kallsyms]     [k] tick_program_event
     0.01%  python3.10  [kernel.kallsyms]     [k] plist_del
     0.01%  python3.10  [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.01%  python3.10  [kernel.kallsyms]     [k] do_exit
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_page
     0.01%  python3.10  libc.so.6             [.] __vstrfmon_l_internal
     0.01%  python3.10  python3.10            [.] _PyStack_AsDict
     0.01%  python3.10  python3.10            [.] 0x0000000000167444
     0.01%  python3.10  python3.10            [.] 0x0000000000188e99
     0.01%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.01%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irq
     0.01%  python3.10  [kernel.kallsyms]     [k] clear_buddies
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_creds
     0.01%  python3.10  [kernel.kallsyms]     [k] kernel_clone
     0.01%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.01%  python3.10  [kernel.kallsyms]     [k] pids_can_fork
     0.01%  python3.10  [kernel.kallsyms]     [k] update_cfs_group
     0.01%  python3.10  libcrypto.so.3        [.] 0x0000000000258a86
     0.01%  python3.10  python3.10            [.] PyMem_Realloc
     0.01%  python3.10  python3.10            [.] 0x0000000000143449
     0.01%  python3.10  python3.10            [.] 0x000000000015d640
     0.01%  python3.10  python3.10            [.] 0x000000000017c380
     0.01%  python3.10  python3.10            [.] 0x000000000017c38a
     0.01%  python3.10  python3.10            [.] 0x0000000000188ec7
     0.01%  python3.10  python3.10            [.] 0x00000000001b05c0
     0.01%  python3.10  python3.10            [.] 0x00000000001d0e50
     0.01%  python3.10  python3.10            [.] 0x00000000002773b3
     0.01%  python3.10  [kernel.kallsyms]     [k] irqentry_exit
     0.01%  python3.10  python3.10            [.] 0x000000000018d17a
     0.01%  python3.10  python3.10            [.] _PyLong_New
     0.01%  python3.10  python3.10            [.] 0x000000000012166e
     0.01%  python3.10  [kernel.kallsyms]     [k] blocking_notifier_call_chain
     0.01%  python3.10  [kernel.kallsyms]     [k] fpregs_assert_state_consistent
     0.01%  python3.10  [kernel.kallsyms]     [k] prepare_task_switch
     0.01%  python3.10  [kernel.kallsyms]     [k] get_user_pages_fast
     0.01%  python3.10  [kernel.kallsyms]     [k] therm_throt_process
     0.01%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.01%  python3.10  [kernel.kallsyms]     [k] release_pages
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a0b18
     0.01%  python3.10  python3.10            [.] PyArg_ParseTupleAndKeywords
     0.01%  python3.10  python3.10            [.] 0x0000000000151e66
     0.01%  python3.10  python3.10            [.] 0x00000000001566c5
     0.01%  python3.10  [kernel.kallsyms]     [k] mutex_unlock
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_pmu_disable
     0.01%  python3.10  [kernel.kallsyms]     [k] reweight_entity
     0.01%  python3.10  python3.10            [.] 0x000000000028dd39
     0.01%  python3.10  [kernel.kallsyms]     [k] tcp_delack_timer_handler
     0.01%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.01%  python3.10  [kernel.kallsyms]     [k] exit_sem
     0.01%  python3.10  [kernel.kallsyms]     [k] available_idle_cpu
     0.01%  python3.10  [kernel.kallsyms]     [k] rb_insert_color
     0.01%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.01%  python3.10  [kernel.kallsyms]     [k] is_cpu_allowed
     0.01%  python3.10  [kvm]                 [k] pvclock_gtod_notify
     0.01%  python3.10  libc.so.6             [.] __strncat_ssse3
     0.01%  python3.10  [i915]                [k] intel_atomic_commit_ready
     0.01%  python3.10  [kernel.kallsyms]     [k] put_prev_entity
     0.01%  python3.10  python3.10            [.] 0x0000000000121740
     0.01%  python3.10  python3.10            [.] 0x0000000000293e15
     0.01%  python3.10  [kernel.kallsyms]     [k] hrtimer_interrupt
     0.01%  python3.10  [kernel.kallsyms]     [k] dequeue_entity
     0.01%  python3.10  python3.10            [.] 0x0000000000294254
     0.01%  python3.10  [kernel.kallsyms]     [k] trigger_load_balance
     0.01%  python3.10  python3.10            [.] 0x0000000000143dfe
     0.01%  python3.10  python3.10            [.] 0x0000000000122901
     0.01%  python3.10  [kernel.kallsyms]     [k] chacha_permute
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.01%  python3.10  python3.10            [.] PyObject_Format
     0.01%  python3.10  python3.10            [.] 0x0000000000143463
     0.01%  python3.10  python3.10            [.] 0x00000000001795fe
     0.01%  python3.10  python3.10            [.] 0x00000000002cfec0
     0.01%  python3.10  [kernel.kallsyms]     [k] __srcu_read_unlock
     0.01%  python3.10  [kernel.kallsyms]     [k] save_fpregs_to_fpstate
     0.01%  python3.10  libcrypto.so.3        [.] 0x00000000003074ba
     0.01%  python3.10  python3.10            [.] PyTuple_New
     0.01%  python3.10  libcrypto.so.3        [.] 0x00000000003081eb
     0.01%  python3.10  libcrypto.so.3        [.] 0x00000000003076cc
     0.01%  python3.10  python3.10            [.] 0x000000000018d274
     0.01%  python3.10  libcrypto.so.3        [.] SHA256_Init
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a1108
     0.01%  python3.10  [vdso]                [.] 0x00000000000007b0
     0.01%  python3.10  python3.10            [.] 0x0000000000137a88
     0.01%  python3.10  python3.10            [.] 0x000000000018c02e
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_pmu_extra_regs
     0.01%  python3.10  python3.10            [.] 0x00000000002067d0
     0.01%  python3.10  python3.10            [.] PyLong_FromUnicodeObject
     0.01%  python3.10  [kernel.kallsyms]     [k] finish_task_switch.isra.0
     0.01%  python3.10  python3.10            [.] 0x000000000018bf89
     0.01%  python3.10  python3.10            [.] 0x000000000018d151
     0.01%  python3.10  python3.10            [.] 0x000000000018d16d
     0.01%  python3.10  python3.10            [.] 0x000000000018d59d
     0.01%  python3.10  python3.10            [.] 0x000000000015b568
     0.01%  python3.10  python3.10            [.] 0x0000000000137b95
     0.01%  python3.10  python3.10            [.] PyDict_GetItemWithError
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_update_time
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a0b13
     0.01%  python3.10  python3.10            [.] 0x000000000027748b
     0.01%  python3.10  python3.10            [.] 0x000000000015099e
     0.01%  python3.10  libcrypto.so.3        [.] 0x0000000000303a80
     0.01%  python3.10  [kernel.kallsyms]     [k] __alloc_pages
     0.01%  python3.10  [kernel.kallsyms]     [k] __handle_mm_fault
     0.01%  python3.10  [kernel.kallsyms]     [k] futex_wake
     0.01%  python3.10  libc.so.6             [.] parse_qtd_backslash
     0.01%  python3.10  libc.so.6             [.] 0x000000000019d32d
     0.01%  python3.10  libc.so.6             [.] 0x00000000001a11ef
     0.01%  python3.10  python3.10            [.] _Py_Dealloc
     0.01%  python3.10  python3.10            [.] 0x0000000000121653
     0.01%  python3.10  python3.10            [.] 0x0000000000143407
     0.01%  python3.10  python3.10            [.] 0x000000000015226c
     0.01%  python3.10  python3.10            [.] 0x00000000001732fc
     0.01%  python3.10  python3.10            [.] 0x000000000017c63f
     0.01%  python3.10  python3.10            [.] 0x000000000018d169
     0.01%  python3.10  python3.10            [.] 0x000000000018d585
     0.01%  python3.10  python3.10            [.] 0x00000000002773f8
     0.01%  python3.10  [kernel.kallsyms]     [k] raw_spin_rq_unlock
     0.01%  python3.10  python3.10            [.] PyFunction_NewWithQualName
     0.01%  python3.10  python3.10            [.] PyObject_RichCompare
     0.01%  python3.10  python3.10            [.] _PyUnicode_ToDecimalDigit
     0.01%  python3.10  python3.10            [.] 0x000000000015b500
     0.01%  python3.10  python3.10            [.] 0x000000000015b541
     0.01%  python3.10  python3.10            [.] 0x000000000017f884
     0.01%  python3.10  python3.10            [.] 0x0000000000188d22
     0.01%  python3.10  python3.10            [.] 0x000000000020beee
     0.01%  python3.10  python3.10            [.] 0x0000000000294a06
     0.01%  python3.10  python3.10            [.] 0x00000000001566cb
     0.01%  python3.10  python3.10            [.] 0x000000000017f965
     0.01%  python3.10  [kernel.kallsyms]     [k] find_vma
     0.01%  python3.10  python3.10            [.] 0x000000000006fb90
     0.01%  python3.10  python3.10            [.] 0x000000000012197a
     0.01%  python3.10  python3.10            [.] 0x00000000001225e0
     0.01%  python3.10  python3.10            [.] 0x00000000002942bc
     0.01%  python3.10  python3.10            [.] 0x000000000015b234
     0.01%  python3.10  [kernel.kallsyms]     [k] alloc_pages_vma
     0.01%  python3.10  [kernel.kallsyms]     [k] get_obj_cgroup_from_current
     0.01%  python3.10  python3.10            [.] PyObject_GC_Del
     0.01%  python3.10  python3.10            [.] 0x0000000000152440
     0.01%  python3.10  python3.10            [.] 0x000000000017a890
     0.01%  python3.10  python3.10            [.] 0x000000000020bf3d
     0.01%  python3.10  python3.10            [.] PyThread_acquire_lock_timed
     0.01%  python3.10  python3.10            [.] 0x0000000000151e1b
     0.01%  python3.10  python3.10            [.] 0x0000000000206a23
     0.01%  python3.10  [kernel.kallsyms]     [k] sched_cgroup_fork
     0.01%  python3.10  python3.10            [.] 0x00000000001522e8
     0.01%  python3.10  python3.10            [.] 0x000000000016a34d
     0.01%  python3.10  [kernel.kallsyms]     [k] hsw_get_event_constraints
     0.00%  python3.10  python3.10            [.] 0x00000000002d9ea0
     0.00%  python3.10  [kernel.kallsyms]     [k] __put_user_nocheck_8
     0.00%  python3.10  python3.10            [.] 0x000000000015af8e
     0.00%  python3.10  python3.10            [.] PyType_GenericAlloc
     0.00%  python3.10  python3.10            [.] 0x00000000001644bf
     0.00%  python3.10  [kernel.kallsyms]     [k] rseq_get_rseq_cs.isra.0
     0.00%  python3.10  [kernel.kallsyms]     [k] calc_timer_values
     0.00%  python3.10  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.00%  python3.10  [kernel.kallsyms]     [k] core_sys_select
     0.00%  python3.10  [kernel.kallsyms]     [k] hrtimer_cancel
     0.00%  python3.10  [kernel.kallsyms]     [k] schedule
     0.00%  python3.10  python3.10            [.] 0x0000000000172b86
     0.00%  python3.10  [kernel.kallsyms]     [k] __entry_text_start
     0.00%  python3.10  [kernel.kallsyms]     [k] ctx_sched_out
     0.00%  python3.10  [kernel.kallsyms]     [k] unmap_page_range
     0.00%  python3.10  [kernel.kallsyms]     [k] update_rq_clock
     0.00%  python3.10  libc.so.6             [.] getlogin_fd0
     0.00%  python3.10  [kernel.kallsyms]     [k] do_syscall_64
     0.00%  python3.10  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.00%  python3.10  python3.10            [.] 0x0000000000138500
     0.00%  python3.10  python3.10            [.] PyObject_IsTrue
     0.00%  python3.10  [kernel.kallsyms]     [k] zap_pte_range
     0.00%  python3.10  [kernel.kallsyms]     [k] __schedule
     0.00%  python3.10  [kernel.kallsyms]     [k] dequeue_task
     0.00%  python3.10  python3.10            [.] 0x000000000011b514
     0.00%  python3.10  python3.10            [.] 0x000000000020698c
     0.00%  python3.10  [kernel.kallsyms]     [k] rcu_read_unlock_strict
     0.00%  python3.10  python3.10            [.] 0x0000000000294ec9
     0.00%  python3.10  [kernel.kallsyms]     [k] intel_pmu_enable_all
     0.00%  python3.10  [kernel.kallsyms]     [k] x86_pmu_enable
     0.00%  python3.10  [kernel.kallsyms]     [k] __radix_tree_lookup
     0.00%  python3.10  python3.10            [.] PyObject_GetItem
     0.00%  python3.10  python3.10            [.] 0x000000000006f150


# Samples: 9K of event 'instructions'
# Event count (approx.): 5069554010
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    69.14%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     8.53%  python3.10  python3.10         [.] 0x000000000012161a
     1.79%  python3.10  python3.10         [.] 0x0000000000121613
     1.56%  python3.10  python3.10         [.] 0x0000000000121605
     1.31%  python3.10  python3.10         [.] 0x0000000000121623
     1.12%  python3.10  python3.10         [.] 0x000000000012160b
     1.09%  python3.10  python3.10         [.] 0x0000000000121590
     1.06%  python3.10  python3.10         [.] 0x0000000000121676
     0.86%  python3.10  python3.10         [.] 0x0000000000121635
     0.83%  python3.10  python3.10         [.] 0x0000000000121679
     0.75%  python3.10  python3.10         [.] 0x0000000000121616
     0.66%  python3.10  python3.10         [.] 0x000000000012160f
