# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 253K of event 'cycles'
# Event count (approx.): 123309724822
#
# Overhead  Command     Shared Object      Symbol                                        
# ........  ..........  .................  ..............................................
#
     0.13%  :2299258    python3.10         [.] 0x0000000000121675
     0.13%  :2299258    python3.10         [.] 0x000000000012167f
     0.12%  :2299258    python3.10         [.] 0x000000000015b50e
     0.12%  :2299258    python3.10         [.] 0x00000000001215e2
     0.12%  :2299258    python3.10         [.] 0x0000000000179c25
     0.11%  :2299258    python3.10         [.] 0x00000000001215bc
     0.11%  :2299258    python3.10         [.] 0x0000000000179c46
     0.11%  :2299258    python3.10         [.] 0x0000000000179c21
     0.10%  :2299258    python3.10         [.] 0x00000000001215d8
     0.10%  :2299258    python3.10         [.] 0x000000000015b504
     0.09%  python3.10  python3.10         [.] 0x0000000000121590
     0.09%  :2299258    python3.10         [.] 0x0000000000179c56
     0.09%  :2299258    python3.10         [.] 0x00000000001215ed
     0.09%  :2299258    python3.10         [.] 0x00000000001215c8
     0.09%  :2299258    python3.10         [.] 0x0000000000121599
     0.08%  :2299258    python3.10         [.] 0x0000000000121749
     0.08%  :2299258    python3.10         [.] 0x000000000012166e
     0.08%  :2299258    python3.10         [.] 0x000000000015b50b
     0.08%  :2299258    python3.10         [.] 0x0000000000179c15
     0.08%  :2299258    python3.10         [.] 0x0000000000121757
     0.08%  :2299258    python3.10         [.] 0x0000000000121667
     0.08%  python3.10  python3.10         [.] 0x0000000000121623
     0.08%  :2299258    python3.10         [.] 0x000000000012175a
     0.07%  :2299258    python3.10         [.] 0x0000000000121754
     0.07%  :2299258    python3.10         [.] 0x00000000001215a2
     0.07%  :2299258    python3.10         [.] 0x00000000001215a6
     0.07%  :2299258    python3.10         [.] 0x000000000015b50a
     0.06%  :2299258    python3.10         [.] 0x000000000015b53e
     0.06%  python3.10  python3.10         [.] 0x000000000012160b
     0.06%  :2299258    python3.10         [.] 0x0000000000179be4
     0.06%  :2299258    python3.10         [.] 0x0000000000179c2e
     0.06%  :2299258    python3.10         [.] 0x000000000015b54b
     0.06%  :2299258    python3.10         [.] 0x000000000015b53b
     0.06%  :2299258    python3.10         [.] 0x000000000015b509
     0.05%  :2299258    python3.10         [.] 0x000000000012164e
     0.05%  python3.10  python3.10         [.] 0x0000000000121605
     0.05%  :2299258    python3.10         [.] 0x0000000000173d54
     0.04%  python3.10  python3.10         [.] 0x0000000000121613
     0.04%  :2299258    python3.10         [.] 0x0000000000121734
     0.04%  python3.10  python3.10         [.] 0x0000000000121635
     0.04%  :2299258    python3.10         [.] 0x00000000001215b2
     0.04%  :2299258    [kernel.kallsyms]  [k] native_read_msr
     0.04%  :2299258    python3.10         [.] 0x00000000001215a0
     0.04%  :2299258    python3.10         [.] 0x0000000000179bea
     0.04%  python3.10  python3.10         [.] 0x00000000001215c4
     0.03%  :2299258    python3.10         [.] 0x0000000000121751
     0.03%  python3.10  python3.10         [.] 0x0000000000121638
     0.03%  :2299258    [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.03%  :2299258    python3.10         [.] 0x0000000000179c0b
     0.03%  :2299258    python3.10         [.] 0x00000000001215c0
     0.03%  python3.10  python3.10         [.] 0x000000000012160f
     0.03%  python3.10  python3.10         [.] 0x0000000000121616
     0.03%  :2299258    python3.10         [.] 0x000000000015b519
     0.03%  :2299258    [kernel.kallsyms]  [k] error_entry
     0.03%  python3.10  python3.10         [.] 0x0000000000121628
     0.03%  python3.10  python3.10         [.] 0x0000000000121676
     0.03%  :2299258    [kernel.kallsyms]  [k] native_write_msr_safe
     0.03%  :2299258    [kernel.kallsyms]  [k] __irqentry_text_end
     0.02%  :2299258    python3.10         [.] 0x0000000000179be9
     0.02%  :2299258    python3.10         [.] 0x0000000000121641
     0.02%  :2299258    python3.10         [.] 0x00000000001215df
     0.02%  :2299258    python3.10         [.] 0x000000000012162c
     0.02%  :2299258    python3.10         [.] 0x000000000015b534
     0.02%  :2299258    [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.02%  :2299258    python3.10         [.] 0x0000000000179c18
     0.02%  python3.10  python3.10         [.] 0x0000000000121730
     0.02%  :2299258    python3.10         [.] 0x0000000000179c38
     0.02%  :2299258    python3.10         [.] 0x0000000000179bfb
     0.02%  :2299258    python3.10         [.] 0x000000000015b512
     0.02%  :2299258    python3.10         [.] 0x000000000015b52a
     0.02%  :2299258    [kernel.kallsyms]  [k] sync_regs
     0.01%  python3.10  python3.10         [.] 0x00000000001215dc
     0.01%  python3.10  python3.10         [.] 0x0000000000121679
     0.01%  :2299258    python3.10         [.] 0x000000000015b55b
     0.01%  :2299258    [kernel.kallsyms]  [k] psi_group_change
     0.01%  python3.10  python3.10         [.] 0x0000000000121737
     0.01%  python3.10  python3.10         [.] 0x00000000001215ab
     0.01%  :2299258    [kernel.kallsyms]  [k] native_write_msr
     0.01%  python3.10  python3.10         [.] 0x00000000001215a3
     0.01%  python3.10  python3.10         [.] 0x00000000001215f2
     0.01%  :2299258    python3.10         [.] 0x000000000012174d
     0.01%  :2299258    python3.10         [.] 0x0000000000179c5c
     0.01%  :2299258    [kernel.kallsyms]  [k] asm_sysvec_thermal
     0.01%  :2299258    python3.10         [.] 0x000000000015b570
     0.01%  :2299258    [kernel.kallsyms]  [k] __update_load_avg_se
     0.01%  python3.10  python3.10         [.] 0x000000000012167d
     0.01%  :2299258    python3.10         [.] 0x000000000015b56d
     0.01%  :2299258    python3.10         [.] 0x0000000000179bf7
     0.01%  python3.10  python3.10         [.] 0x0000000000121600
     0.01%  :2299258    [kernel.kallsyms]  [k] merge_sched_in
     0.01%  :2299258    [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.01%  :2299258    [kernel.kallsyms]  [k] native_apic_msr_eoi_write
     0.01%  :2299258    python3.10         [.] 0x000000000015b562
     0.01%  :2299258    python3.10         [.] 0x0000000000179c35
     0.01%  :2299258    python3.10         [.] 0x000000000012161d
     0.01%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  :2299258    python3.10         [.] 0x0000000000121672
     0.01%  :2299258    python3.10         [.] 0x000000000015b55d
     0.01%  :2299258    [kernel.kallsyms]  [k] event_sched_in
     0.01%  :2299258    python3.10         [.] 0x0000000000179bfe
     0.01%  python3.10  python3.10         [.] 0x000000000012167f
     0.01%  python3.10  python3.10         [.] 0x00000000001215e9
     0.01%  python3.10  python3.10         [.] 0x00000000001215cb
     0.01%  python3.10  python3.10         [.] 0x000000000012159b
     0.01%  :2299258    [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.01%  :2299258    [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.01%  :2299258    [kernel.kallsyms]  [k] exit_to_user_mode_prepare
     0.01%  :2299258    python3.10         [.] 0x000000000015b554
     0.00%  :2299258    [kernel.kallsyms]  [k] __sysvec_apic_timer_interrupt
     0.00%  :2299258    python3.10         [.] 0x0000000000121630
     0.00%  :2299258    [kernel.kallsyms]  [k] update_cfs_group
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_next
     0.00%  :2299258    [kernel.kallsyms]  [k] update_curr
     0.00%  :2299258    python3.10         [.] 0x000000000015b56c
     0.00%  :2299258    [kernel.kallsyms]  [k] update_load_avg
     0.00%  :2299258    [kernel.kallsyms]  [k] lapic_next_deadline
     0.00%  :2299258    [kernel.kallsyms]  [k] native_sched_clock
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_log_itrace_start
     0.00%  :2299258    [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.00%  python3.10  [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.00%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] ctx_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] read_tsc
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_task_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.00%  :2299258    [kernel.kallsyms]  [k] __calc_delta
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_task_change
     0.00%  :2299258    [kernel.kallsyms]  [k] timerqueue_add
     0.00%  python3.10  libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.00%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%  :2299258    [kernel.kallsyms]  [k] tick_program_event
     0.00%  python3.10  python3.10         [.] 0x00000000001215e2
     0.00%  :2299258    [kernel.kallsyms]  [k] select_idle_sibling
     0.00%  :2299258    [kernel.kallsyms]  [k] __sysvec_thermal
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_groups_first
     0.00%  python3.10  python3.10         [.] 0x00000000001215f7
     0.00%  :2299258    python3.10         [.] 0x000000000015b54f
     0.00%  :2299258    python3.10         [.] 0x000000000015b525
     0.00%  python3.10  python3.10         [.] 0x0000000000137b1b
     0.00%  python3.10  python3.10         [.] 0x00000000001215e5
     0.00%  :2299258    [kernel.kallsyms]  [k] rb_insert_color
     0.00%  python3.10  [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.00%  python3.10  python3.10         [.] 0x000000000012167b
     0.00%  :2299258    python3.10         [.] 0x000000000015b564
     0.00%  python3.10  python3.10         [.] 0x0000000000121677
     0.00%  :2299258    [kernel.kallsyms]  [k] check_preempt_wakeup
     0.00%  python3.10  libc.so.6          [.] ____wcstold_l_internal
     0.00%  python3.10  python3.10         [.] 0x00000000001215d8
     0.00%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] update_min_vruntime
     0.00%  python3.10  python3.10         [.] 0x000000000012e078
     0.00%  :2299258    [kernel.kallsyms]  [k] error_return
     0.00%  :2299258    [kernel.kallsyms]  [k] syscall_return_via_sysret
     0.00%  :2299258    [kernel.kallsyms]  [k] ktime_get
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_swevent_add
     0.00%  python3.10  [kernel.kallsyms]  [k] memset_erms
     0.00%  :2299258    [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  :2299258    [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.00%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.00%  python3.10  python3.10         [.] 0x000000000012d1da
     0.00%  :2299258    [kernel.kallsyms]  [k] update_process_times
     0.00%  :2299258    [kernel.kallsyms]  [k] sched_slice
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_context_sched_out
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_adjust_freq_unthr_context
     0.00%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_task_fair
     0.00%  python3.10  python3.10         [.] 0x00000000001215a7
     0.00%  python3.10  python3.10         [.] 0x00000000001215bc
     0.00%  :2299258    [kernel.kallsyms]  [k] __schedule
     0.00%  python3.10  python3.10         [.] 0x000000000012159d
     0.00%  :2299258    [kernel.kallsyms]  [k] __intel_pmu_enable_all.constprop.0
     0.00%  :2299258    [kernel.kallsyms]  [k] enqueue_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] sysvec_apic_timer_interrupt
     0.00%  :2299258    [kernel.kallsyms]  [k] tick_sched_timer
     0.00%  :2299258    [kernel.kallsyms]  [k] arch_scale_freq_tick
     0.00%  :2299258    [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.00%  :2299258    [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.00%  python3.10  python3.10         [.] _PyObject_GetMethod
     0.00%  :2299258    [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] set_next_entity
     0.00%  python3.10  python3.10         [.] _PyObject_MakeTpCall
     0.00%  :2299258    [kernel.kallsyms]  [k] __get_user_8
     0.00%  python3.10  python3.10         [.] 0x00000000001d4961
     0.00%  python3.10  libc.so.6          [.] ____wcstof_l_internal
     0.00%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.00%  :2299258    [kernel.kallsyms]  [k] put_prev_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_update_userpage
     0.00%  python3.10  [kernel.kallsyms]  [k] native_read_msr
     0.00%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.00%  :2299258    [kernel.kallsyms]  [k] idle_cpu
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.00%  :2299258    libc.so.6          [.] re_compile_internal
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_mux_hrtimer_handler
     0.00%  :2299258    [kernel.kallsyms]  [k] x86_pmu_disable
     0.00%  python3.10  [kernel.kallsyms]  [k] error_entry
     0.00%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.00%  :2299258    [kernel.kallsyms]  [k] syscall_exit_to_user_mode
     0.00%  :2299258    [kernel.kallsyms]  [k] task_tick_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] account_user_time
     0.00%  :2299258    [kernel.kallsyms]  [k] set_next_buddy
     0.00%  python3.10  python3.10         [.] 0x0000000000122901
     0.00%  :2299258    [kernel.kallsyms]  [k] native_queued_spin_lock_slowpath.part.0
     0.00%  python3.10  python3.10         [.] 0x0000000000206a23
     0.00%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.00%  python3.10  python3.10         [.] 0x000000000015eff0
     0.00%  python3.10  python3.10         [.] _PyObject_GenericSetAttrWithDict
     0.00%  python3.10  python3.10         [.] 0x00000000001215c8
     0.00%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.00%  python3.10  python3.10         [.] PyObject_GetAttr
     0.00%  :2299258    [kernel.kallsyms]  [k] reweight_entity
     0.00%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.00%  python3.10  python3.10         [.] 0x000000000012d1d1
     0.00%  python3.10  [kernel.kallsyms]  [k] mutex_lock
     0.00%  :2299258    [kernel.kallsyms]  [k] iterate_groups
     0.00%  :2299258    python3.10         [.] _PyObject_MakeTpCall
     0.00%  :2299258    [kernel.kallsyms]  [k] __update_blocked_fair
     0.00%  :2299258    [kernel.kallsyms]  [k] irqentry_exit
     0.00%  :2299258    [kernel.kallsyms]  [k] __softirqentry_text_start
     0.00%  :2299258    [kernel.kallsyms]  [k] asm_sysvec_call_function_single
     0.00%  :2299258    [kernel.kallsyms]  [k] irq_work_tick
     0.00%  python3.10  python3.10         [.] 0x000000000018d765
     0.00%  :2299258    [kernel.kallsyms]  [k] nohz_balance_exit_idle
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_update_time
     0.00%  :2299258    [kernel.kallsyms]  [k] clockevents_program_event
     0.00%  :2299258    [kernel.kallsyms]  [k] scheduler_tick
     0.00%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.00%  python3.10  python3.10         [.] 0x0000000000174090
     0.00%  :2299258    [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.00%  :2299258    [kernel.kallsyms]  [k] try_to_wake_up
     0.00%  :2299258    [kernel.kallsyms]  [k] prepare_task_switch
     0.00%  python3.10  python3.10         [.] 0x0000000000121594
     0.00%  :2299258    [kernel.kallsyms]  [k] timerqueue_del
     0.00%  :2299258    [kernel.kallsyms]  [k] update_sd_lb_stats.constprop.0
     0.00%  :2299258    python3.10         [.] 0x0000000000179c57
     0.00%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_cfs_rq
     0.00%  :2299258    [kernel.kallsyms]  [k] update_rq_clock
     0.00%  :2299258    [kernel.kallsyms]  [k] perf_event_task_tick
     0.00%  python3.10  python3.10         [.] 0x000000000015efb8
     0.00%  python3.10  python3.10         [.] 0x00000000002942ff
     0.00%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.00%  python3.10  [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.00%  :2299258    [kernel.kallsyms]  [k] ___perf_sw_event
     0.00%  python3.10  libc.so.6          [.] __memmove_sse2_unaligned_erms
     0.00%  python3.10  [kernel.kallsyms]  [k] x86_get_event_constraints
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.00%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.00%  python3.10  python3.10         [.] 0x0000000000137bc7
     0.00%  python3.10  python3.10         [.] 0x00000000001d4955
     0.00%  python3.10  python3.10         [.] PyList_Append
     0.00%  python3.10  libc.so.6          [.] __strncat_sse2_unaligned
     0.00%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_flags_change
     0.00%  python3.10  python3.10         [.] 0x00000000001215ed
     0.00%  python3.10  python3.10         [.] 0x00000000001215a2
     0.00%  python3.10  [kernel.kallsyms]  [k] irq_exit_rcu
     0.00%  python3.10  python3.10         [.] 0x0000000000137b95
     0.00%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.00%  python3.10  python3.10         [.] 0x000000000015ef70
     0.00%  python3.10  python3.10         [.] 0x000000000012d1e1
     0.00%  :2299258    [kernel.kallsyms]  [k] resched_curr
     0.00%  python3.10  [kernel.kallsyms]  [k] find_vma_prev
     0.00%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.00%  :2299258    [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.00%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.00%  python3.10  python3.10         [.] 0x000000000018d237
     0.00%  python3.10  [kernel.kallsyms]  [k] futex_wait_setup
     0.00%  python3.10  python3.10         [.] PyObject_SetAttr
     0.00%  python3.10  python3.10         [.] 0x00000000001740bb
     0.00%  :2299258    [kernel.kallsyms]  [k] __raise_softirq_irqoff
     0.00%  python3.10  python3.10         [.] 0x0000000000121596
     0.00%  :2299258    libc.so.6          [.] __GI___strncasecmp_l_sse2
     0.00%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.00%  python3.10  python3.10         [.] 0x000000000018c00b
     0.00%  python3.10  [kernel.kallsyms]  [k] update_curr
     0.00%  :2299258    [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.00%  :2299258    python3.10         [.] _PyUnicode_JoinArray
     0.00%  :2299258    [kernel.kallsyms]  [k] psi_task_switch
     0.00%  :2299258    python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.00%  :2299258    [kernel.kallsyms]  [k] x2apic_send_IPI
     0.00%  :2299258    [kernel.kallsyms]  [k] select_task_rq_fair
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_first
     0.00%  :2299258    [kernel.kallsyms]  [k] __put_user_nocheck_8
     0.00%  :2299258    [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.00%  python3.10  [kernel.kallsyms]  [k] do_madvise.part.0
     0.00%  :2299258    [kernel.kallsyms]  [k] ttwu_do_activate
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.00%  :2299258    [kernel.kallsyms]  [k] __entry_text_start
     0.00%  :2299258    [kernel.kallsyms]  [k] check_cpu_stall
     0.00%  :2299258    [kernel.kallsyms]  [k] rseq_get_rseq_cs.isra.0
     0.00%  :2299258    libc.so.6          [.] sem_open@GLIBC_2.2.5
     0.00%  python3.10  python3.10         [.] 0x000000000017a8e0
     0.00%  :2299258    [kernel.kallsyms]  [k] clear_buddies
     0.00%  :2299258    python3.10         [.] 0x0000000000178d50
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_mux_hrtimer_handler
     0.00%  :2299258    [kernel.kallsyms]  [k] run_timer_softirq
     0.00%  :2299258    python3.10         [.] PyUnicode_FromFormatV
     0.00%  :2299258    [kernel.kallsyms]  [k] tcp_current_mss
     0.00%  :2299258    [kernel.kallsyms]  [k] __rseq_handle_notify_resume
     0.00%  python3.10  [kernel.kallsyms]  [k] do_syscall_64
     0.00%  :2299258    [kernel.kallsyms]  [k] pick_next_entity
     0.00%  :2299258    [kernel.kallsyms]  [k] intel_thermal_interrupt
     0.00%  :2299258    python3.10         [.] PyLong_FromString
     0.00%  :2299258    [kernel.kallsyms]  [k] tick_sched_handle
     0.00%  :2299258    [kernel.kallsyms]  [k] schedule
     0.00%  :2299258    [kernel.kallsyms]  [k] update_fast_timekeeper
     0.00%  :2299258    [kernel.kallsyms]  [k] hrtimer_forward
     0.00%  :2299258    [kernel.kallsyms]  [k] load_balance
     0.00%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_prepare
     0.00%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.00%  python3.10  libc.so.6          [.] 0x0000000000199efd
     0.00%  python3.10  libc.so.6          [.] 0x00000000001a0984
     0.00%  python3.10  libcrypto.so.3     [.] 0x0000000000303a80
     0.00%  python3.10  python3.10         [.] _PyUnicode_FromId
     0.00%  python3.10  python3.10         [.] 0x0000000000070790
     0.00%  python3.10  python3.10         [.] 0x00000000001228a8
     0.00%  python3.10  python3.10         [.] 0x00000000001228d1
     0.00%  python3.10  python3.10         [.] 0x0000000000150bd6
     0.00%  python3.10  python3.10         [.] 0x0000000000151d80
     0.00%  python3.10  python3.10         [.] 0x0000000000151e2e
     0.00%  python3.10  python3.10         [.] 0x000000000017c380
     0.00%  python3.10  python3.10         [.] 0x00000000002069da
     0.00%  python3.10  python3.10         [.] 0x00000000002775ef
     0.00%  python3.10  python3.10         [.] 0x0000000000294e92
     0.00%  :2299258    [kernel.kallsyms]  [k] rcu_segcblist_ready_cbs
     0.00%  python3.10  [kernel.kallsyms]  [k] get_futex_key
     0.00%  python3.10  [kernel.kallsyms]  [k] memcg_check_events
     0.00%  :2299258    [kernel.kallsyms]  [k] flush_smp_call_function_queue
     0.00%  :2299258    [kernel.kallsyms]  [k] available_idle_cpu
     0.00%  :2299258    [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.00%  python3.10  python3.10         [.] _PyObject_LookupSpecial
     0.00%  :2299258    [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  python3.10  [kernel.kallsyms]  [k] update_rq_clock
     0.00%  python3.10  [kernel.kallsyms]  [k] task_clock_event_add
     0.00%  python3.10  python3.10         [.] PyLong_FromString
     0.00%  python3.10  python3.10         [.] 0x0000000000188ff9
     0.00%  :2299258    [kernel.kallsyms]  [k] ip_rcv_core
     0.00%  python3.10  python3.10         [.] 0x00000000001d495d
     0.00%  python3.10  [kernel.kallsyms]  [k] memcg_slab_free_hook
     0.00%  python3.10  python3.10         [.] PyTraceBack_Here
     0.00%  python3.10  python3.10         [.] 0x0000000000121599
     0.00%  python3.10  python3.10         [.] 0x000000000018d5bd
     0.00%  python3.10  [kernel.kallsyms]  [k] __bitmap_intersects
     0.00%  python3.10  [kernel.kallsyms]  [k] __check_object_size.part.0
     0.00%  python3.10  [kernel.kallsyms]  [k] __srcu_read_unlock
     0.00%  python3.10  [kernel.kallsyms]  [k] cpuacct_charge
     0.00%  python3.10  [kernel.kallsyms]  [k] perf_output_begin
     0.00%  python3.10  [kernel.kallsyms]  [k] syscall_enter_from_user_mode
     0.00%  python3.10  python3.10         [.] 0x0000000000137bb7
     0.00%  python3.10  python3.10         [.] 0x0000000000156684
     0.00%  python3.10  python3.10         [.] 0x000000000018c04e
     0.00%  python3.10  python3.10         [.] 0x000000000018c069
     0.00%  python3.10  python3.10         [.] 0x000000000018d13b
     0.00%  python3.10  python3.10         [.] 0x000000000018d5e9
     0.00%  python3.10  python3.10         [.] 0x000000000020bf44
     0.00%  python3.10  python3.10         [.] 0x0000000000293d40
