# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 12K of event 'cycles'
# Event count (approx.): 4650999646
#
# Overhead  Command     Shared Object      Symbol                                      
# ........  ..........  .................  ............................................
#
     0.00%  python3.10  [kernel.kallsyms]  [k] ftrace_profile_free_filter
     0.00%  python3.10  [kernel.kallsyms]  [k] intel_pmu_enable_all
     0.00%  :2312584    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312544    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312463    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312626    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312603    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312335    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312497    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312178    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312246    [kernel.kallsyms]  [k] native_write_msr
     0.00%  :2312394    [kernel.kallsyms]  [k] native_write_msr


# Samples: 12K of event 'instructions'
# Event count (approx.): 6485948690
#
# Overhead  Command     Shared Object      Symbol                                   
# ........  ..........  .................  .........................................
#
    79.78%  python3.10  python3.10         [.] _PyEval_EvalFrameDefault
     3.46%  python3.10  python3.10         [.] 0x000000000012161a
     1.48%  python3.10  python3.10         [.] 0x0000000000121590
     1.10%  python3.10  python3.10         [.] 0x0000000000121605
     1.08%  python3.10  python3.10         [.] 0x0000000000121613
     1.03%  python3.10  python3.10         [.] 0x0000000000121676
     0.86%  python3.10  python3.10         [.] 0x0000000000121730
     0.75%  python3.10  python3.10         [.] 0x0000000000121737
     0.62%  python3.10  python3.10         [.] 0x0000000000121679
     0.57%  python3.10  python3.10         [.] 0x000000000012167d
     0.57%  :2312497    python3.10         [.] _PyEval_EvalFrameDefault
     0.53%  :2312335    python3.10         [.] _PyEval_EvalFrameDefault
     0.52%  python3.10  python3.10         [.] 0x000000000012160b
     0.49%  :2312584    python3.10         [.] _PyEval_EvalFrameDefault
     0.46%  :2312463    python3.10         [.] _PyEval_EvalFrameDefault
     0.44%  python3.10  python3.10         [.] 0x000000000012159b
     0.36%  :2312603    python3.10         [.] _PyEval_EvalFrameDefault
     0.33%  python3.10  python3.10         [.] 0x00000000001215c4
     0.31%  python3.10  python3.10         [.] 0x0000000000121596
     0.30%  python3.10  python3.10         [.] 0x00000000001215a3
     0.26%  python3.10  python3.10         [.] 0x00000000001215ab
     0.24%  python3.10  python3.10         [.] 0x00000000001215f2
     0.22%  python3.10  python3.10         [.] 0x000000000012167b
     0.21%  :2312626    python3.10         [.] _PyEval_EvalFrameDefault
     0.18%  python3.10  python3.10         [.] 0x00000000001215e9
     0.18%  python3.10  python3.10         [.] 0x0000000000121677
     0.17%  python3.10  python3.10         [.] 0x000000000012167f
     0.17%  python3.10  [kernel.kallsyms]  [k] psi_group_change
     0.17%  python3.10  python3.10         [.] 0x00000000001215a7
     0.16%  python3.10  python3.10         [.] 0x00000000001215dc
     0.16%  python3.10  python3.10         [.] 0x00000000001215f7
     0.15%  python3.10  python3.10         [.] 0x00000000001215bc
     0.14%  python3.10  python3.10         [.] 0x00000000001215cb
     0.14%  :2312394    python3.10         [.] _PyEval_EvalFrameDefault
     0.12%  python3.10  python3.10         [.] 0x00000000001215e5
     0.09%  python3.10  python3.10         [.] 0x00000000001215a0
     0.09%  python3.10  python3.10         [.] 0x00000000001215e2
     0.08%  python3.10  python3.10         [.] 0x000000000012166e
     0.08%  python3.10  python3.10         [.] 0x000000000012159d
     0.08%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.06%  python3.10  python3.10         [.] 0x0000000000121600
     0.06%  python3.10  python3.10         [.] 0x0000000000121616
     0.06%  :2312584    python3.10         [.] 0x000000000012161a
     0.05%  python3.10  python3.10         [.] 0x000000000012160f
     0.05%  python3.10  python3.10         [.] 0x00000000001215a2
     0.04%  python3.10  python3.10         [.] 0x00000000001215d8
     0.03%  :2312463    python3.10         [.] 0x0000000000121590
     0.03%  python3.10  [kernel.kallsyms]  [k] event_sched_in
     0.03%  python3.10  python3.10         [.] 0x0000000000121594
     0.03%  :2312335    python3.10         [.] 0x000000000012161a
     0.03%  :2312335    python3.10         [.] 0x0000000000121590
     0.03%  python3.10  [kernel.kallsyms]  [k] x86_setup_perfctr
     0.03%  python3.10  [kernel.kallsyms]  [k] update_load_avg
     0.03%  :2312603    python3.10         [.] 0x00000000001215c4
     0.03%  python3.10  [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.03%  :2312584    python3.10         [.] 0x0000000000121676
     0.02%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.02%  :2312544    python3.10         [.] _PyEval_EvalFrameDefault
     0.02%  python3.10  [kernel.kallsyms]  [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]  [k] merge_sched_in
     0.02%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.02%  :2312394    python3.10         [.] 0x000000000012161a
     0.02%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.02%  python3.10  python3.10         [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event__id_header_size
     0.02%  python3.10  [kernel.kallsyms]  [k] hash_futex
     0.02%  python3.10  [kernel.kallsyms]  [k] intel_pmu_event_map
     0.02%  :2312335    python3.10         [.] 0x0000000000121676
     0.02%  :2312335    python3.10         [.] 0x00000000001215f7
     0.02%  python3.10  python3.10         [.] 0x00000000002b39f9
     0.02%  :2312584    [kernel.kallsyms]  [k] __update_load_avg_se
     0.02%  python3.10  python3.10         [.] 0x00000000002774a1
     0.02%  :2312497    python3.10         [.] 0x0000000000121613
     0.01%  python3.10  python3.10         [.] 0x00000000001215b2
     0.01%  :2312335    python3.10         [.] 0x00000000001215e2
     0.01%  :2312584    python3.10         [.] 0x0000000000121613
     0.01%  :2312497    python3.10         [.] 0x0000000000121590
     0.01%  python3.10  python3.10         [.] 0x0000000000188dd7
     0.01%  python3.10  python3.10         [.] 0x00000000001215c0
     0.01%  :2312626    [kernel.kallsyms]  [k] sched_slice
     0.01%  :2312394    python3.10         [.] 0x0000000000121616
     0.01%  :2312497    python3.10         [.] 0x000000000012160b
     0.01%  :2312497    python3.10         [.] 0x0000000000121616
     0.01%  python3.10  [kernel.kallsyms]  [k] __lock_text_start
     0.01%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_prepare
     0.01%  python3.10  python3.10         [.] PyList_Append
     0.01%  python3.10  [kernel.kallsyms]  [k] gup_pte_range
     0.01%  python3.10  [kernel.kallsyms]  [k] entry_SYSCALL_64_after_hwframe
     0.01%  python3.10  [kernel.kallsyms]  [k] page_remove_rmap
     0.01%  :2312603    python3.10         [.] 0x000000000012160b
     0.01%  :2312603    python3.10         [.] 0x0000000000121730
     0.01%  python3.10  python3.10         [.] 0x00000000001215a6
     0.01%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.01%  :2312626    python3.10         [.] 0x0000000000121605
     0.01%  python3.10  python3.10         [.] 0x00000000001215c8
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.01%  python3.10  [kernel.kallsyms]  [k] vma_adjust_trans_huge
     0.01%  python3.10  [kernel.kallsyms]  [k] select_idle_cpu
     0.01%  python3.10  [kernel.kallsyms]  [k] ttwu_do_wakeup
     0.01%  python3.10  [kernel.kallsyms]  [k] ktime_get_update_offsets_now
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_event_alloc
     0.01%  :2312584    python3.10         [.] 0x000000000012167d
     0.01%  python3.10  [kernel.kallsyms]  [k] uncharge_batch
     0.01%  :2312584    python3.10         [.] 0x000000000012167b
     0.01%  python3.10  python3.10         [.] 0x00000000001598c4
     0.01%  :2312463    python3.10         [.] 0x00000000001215e5
