# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'cycles'
# Event count (approx.): 23886930447
#
# Overhead  Command     Shared Object         Symbol                                      
# ........  ..........  ....................  ............................................
#
     0.26%  :1952495    python3.10            [.] 0x0000000000121679
     0.26%  :1952495    python3.10            [.] 0x0000000000179be0
     0.25%  python3.10  python3.10            [.] 0x0000000000121590
     0.24%  :1952495    python3.10            [.] 0x00000000001215e9
     0.23%  :1952495    python3.10            [.] 0x000000000015b537
     0.22%  python3.10  python3.10            [.] 0x0000000000121676
     0.22%  :1952495    python3.10            [.] 0x00000000001215a2
     0.21%  :1952495    python3.10            [.] 0x0000000000179c13
     0.21%  :1952495    python3.10            [.] 0x00000000001215cb
     0.21%  :1952495    python3.10            [.] 0x0000000000179be4
     0.21%  python3.10  python3.10            [.] 0x00000000001215f2
     0.20%  :1952495    python3.10            [.] 0x000000000015b504
     0.19%  :1952495    python3.10            [.] 0x0000000000179c56
     0.18%  :1952495    python3.10            [.] 0x000000000015b54f
     0.18%  :1952495    python3.10            [.] 0x00000000001215bc
     0.18%  :1952495    python3.10            [.] 0x0000000000173d58
     0.17%  :1952495    python3.10            [.] 0x0000000000121600
     0.17%  :1952495    python3.10            [.] 0x0000000000179be8
     0.17%  :1952495    python3.10            [.] 0x0000000000179c02
     0.16%  :1952495    python3.10            [.] 0x0000000000121653
     0.16%  :1952495    python3.10            [.] 0x0000000000179c42
     0.15%  python3.10  python3.10            [.] 0x0000000000121596
     0.15%  :1952495    python3.10            [.] 0x000000000012167b
     0.15%  :1952495    python3.10            [.] 0x000000000015b568
     0.15%  :1952495    python3.10            [.] 0x0000000000179c46
     0.14%  :1952495    python3.10            [.] 0x000000000012160f
     0.14%  python3.10  python3.10            [.] 0x0000000000121730
     0.14%  :1952495    python3.10            [.] 0x0000000000179c3b
     0.14%  :1952495    python3.10            [.] 0x000000000015b520
     0.13%  :1952495    python3.10            [.] 0x0000000000179c21
     0.13%  :1952495    python3.10            [.] 0x0000000000179c5a
     0.13%  :1952495    python3.10            [.] 0x00000000001215e5
     0.13%  :1952495    python3.10            [.] 0x000000000012167f
     0.13%  python3.10  python3.10            [.] 0x0000000000121737
     0.13%  :1952495    python3.10            [.] 0x000000000015b509
     0.12%  python3.10  python3.10            [.] 0x0000000000121605
     0.12%  :1952495    python3.10            [.] 0x0000000000121677
     0.12%  python3.10  python3.10            [.] 0x00000000001215f7
     0.12%  python3.10  python3.10            [.] 0x0000000000121613
     0.11%  :1952495    python3.10            [.] 0x00000000001215e2
     0.11%  :1952495    python3.10            [.] 0x000000000015b56e
     0.11%  python3.10  python3.10            [.] 0x0000000000121679
     0.11%  :1952495    python3.10            [.] 0x0000000000121660
     0.11%  python3.10  python3.10            [.] 0x000000000012159b
     0.11%  :1952495    python3.10            [.] 0x0000000000179c15
     0.11%  :1952495    python3.10            [.] 0x00000000001215c8
     0.10%  :1952495    python3.10            [.] 0x0000000000179c25
     0.10%  :1952495    python3.10            [.] 0x00000000001215ed
     0.10%  :1952495    python3.10            [.] 0x000000000015b50b
     0.10%  python3.10  python3.10            [.] 0x000000000012159d
     0.10%  :1952495    python3.10            [.] 0x00000000001215b2
     0.10%  :1952495    python3.10            [.] 0x0000000000179bee
     0.09%  :1952495    python3.10            [.] 0x000000000015b557
     0.09%  :1952495    python3.10            [.] 0x000000000015b55b
     0.09%  python3.10  python3.10            [.] 0x000000000012160b
     0.09%  :1952495    python3.10            [.] 0x00000000001215a0
     0.09%  :1952495    python3.10            [.] 0x0000000000173d54
     0.09%  :1952495    python3.10            [.] 0x000000000015b55d
     0.09%  :1952495    python3.10            [.] 0x000000000015b50e
     0.09%  :1952495    python3.10            [.] 0x000000000012166e
     0.09%  :1952495    python3.10            [.] 0x0000000000121667
     0.09%  :1952495    python3.10            [.] 0x000000000015b50a
     0.08%  :1952495    python3.10            [.] 0x0000000000179bfb
     0.08%  :1952495    python3.10            [.] 0x0000000000121757
     0.08%  python3.10  python3.10            [.] 0x00000000001215a3
     0.08%  python3.10  python3.10            [.] 0x00000000001215a7
     0.08%  python3.10  python3.10            [.] 0x00000000001215c4
     0.08%  :1952495    python3.10            [.] 0x000000000015b53b
     0.08%  :1952495    python3.10            [.] 0x00000000001215c0
     0.08%  :1952495    python3.10            [.] 0x0000000000179bea
     0.08%  :1952495    python3.10            [.] 0x0000000000121675
     0.07%  :1952495    python3.10            [.] 0x000000000015b554
     0.07%  :1952495    python3.10            [.] 0x00000000001215df
     0.07%  :1952495    python3.10            [.] 0x0000000000179be9
     0.07%  :1952495    python3.10            [.] 0x00000000001215a6
     0.06%  :1952495    python3.10            [.] 0x00000000001215d8
     0.06%  python3.10  python3.10            [.] 0x000000000012167d
     0.06%  python3.10  python3.10            [.] 0x00000000001215e2
     0.06%  :1952495    python3.10            [.] 0x0000000000121751
     0.06%  python3.10  python3.10            [.] 0x0000000000121616
     0.06%  :1952495    python3.10            [.] 0x0000000000179c2e
     0.05%  python3.10  python3.10            [.] 0x00000000001215cb
     0.05%  :1952495    python3.10            [.] 0x0000000000121749
     0.05%  :1952495    python3.10            [.] 0x0000000000179c0b
     0.05%  python3.10  python3.10            [.] 0x00000000001215e9
     0.05%  python3.10  python3.10            [.] 0x00000000001215bc
     0.05%  :1952495    python3.10            [.] 0x000000000015b53e
     0.04%  python3.10  python3.10            [.] 0x00000000001215a2
     0.04%  python3.10  python3.10            [.] 0x0000000000121677
     0.04%  :1952495    python3.10            [.] 0x0000000000121740
     0.04%  :1952495    python3.10            [.] 0x000000000012175a
     0.04%  python3.10  python3.10            [.] 0x0000000000121594
     0.04%  python3.10  python3.10            [.] 0x000000000012167b
     0.04%  :1952495    [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.04%  :1952495    python3.10            [.] 0x0000000000179c18
     0.04%  :1952495    python3.10            [.] 0x0000000000121754
     0.03%  python3.10  python3.10            [.] 0x00000000001215e5
     0.03%  :1952495    python3.10            [.] 0x000000000015b570
     0.03%  python3.10  python3.10            [.] 0x00000000001215ab
     0.03%  python3.10  python3.10            [.] 0x000000000012160f
     0.03%  :1952495    [kernel.kallsyms]     [k] psi_group_change
     0.03%  python3.10  [kernel.kallsyms]     [k] psi_group_change
     0.03%  :1952495    python3.10            [.] 0x000000000012174d
     0.03%  :1952495    python3.10            [.] 0x0000000000121641
     0.03%  python3.10  python3.10            [.] 0x00000000001215dc
     0.03%  :1952495    [kernel.kallsyms]     [k] asm_sysvec_apic_timer_interrupt
     0.03%  :1952495    python3.10            [.] 0x000000000015b512
     0.03%  python3.10  [kernel.kallsyms]     [k] perf_event_alloc
     0.03%  :1952495    python3.10            [.] 0x000000000015b534
     0.02%  :1952495    python3.10            [.] 0x000000000015b54b
     0.02%  :1952495    python3.10            [.] 0x0000000000179c38
     0.02%  :1952495    python3.10            [.] 0x000000000015b519
     0.02%  python3.10  [kernel.kallsyms]     [k] event_sched_in
     0.02%  python3.10  python3.10            [.] 0x00000000001215ed
     0.02%  :1952495    [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.02%  python3.10  python3.10            [.] 0x0000000000121599
     0.02%  python3.10  libc.so.6             [.] ____wcstold_l_internal
     0.02%  :1952495    python3.10            [.] 0x000000000012164e
     0.02%  python3.10  python3.10            [.] 0x000000000012167f
     0.02%  python3.10  [kernel.kallsyms]     [k] memset_erms
     0.02%  python3.10  [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.02%  python3.10  [kernel.kallsyms]     [k] merge_sched_in
     0.02%  :1952495    [kernel.kallsyms]     [k] native_write_msr
     0.02%  :1952495    python3.10            [.] 0x000000000015b56c
     0.02%  python3.10  [kernel.kallsyms]     [k] rb_next
     0.02%  python3.10  python3.10            [.] 0x00000000001215c0
     0.02%  python3.10  python3.10            [.] 0x00000000001215d8
     0.02%  python3.10  [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.02%  :1952495    python3.10            [.] 0x0000000000179c35
     0.02%  python3.10  python3.10            [.] _PyObject_GetMethod
     0.02%  :1952495    [kernel.kallsyms]     [k] native_read_msr
     0.02%  :1952495    python3.10            [.] 0x000000000015b52a
     0.02%  :1952495    [kernel.kallsyms]     [k] error_entry
     0.02%  :1952495    [kernel.kallsyms]     [k] read_tsc
     0.02%  :1952495    [kernel.kallsyms]     [k] try_to_wake_up
     0.01%  :1952495    [kernel.kallsyms]     [k] psi_task_switch
     0.01%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock
     0.01%  python3.10  python3.10            [.] 0x00000000001215a0
     0.01%  python3.10  [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.01%  python3.10  [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.01%  python3.10  [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.01%  :1952495    [kernel.kallsyms]     [k] native_write_msr_safe
     0.01%  python3.10  [kernel.kallsyms]     [k] rb_erase
     0.01%  python3.10  python3.10            [.] 0x000000000012166e
     0.01%  python3.10  python3.10            [.] 0x00000000001215c8
     0.01%  python3.10  libc.so.6             [.] ____wcstof_l_internal
     0.01%  :1952495    [kernel.kallsyms]     [k] enqueue_task_fair
     0.01%  python3.10  python3.10            [.] 0x0000000000121600
     0.01%  python3.10  libc.so.6             [.] __strcat_ssse3
     0.01%  :1952495    [kernel.kallsyms]     [k] merge_sched_in
     0.01%  python3.10  [kernel.kallsyms]     [k] native_read_msr
     0.01%  :1952495    python3.10            [.] 0x0000000000179bf7
     0.01%  :1952495    [kernel.kallsyms]     [k] syscall_exit_to_user_mode
     0.01%  :1952495    python3.10            [.] 0x0000000000179bfe
     0.01%  :1952495    [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.01%  python3.10  [kernel.kallsyms]     [k] inherit_event.constprop.0
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_first
     0.01%  :1952919    python3.10            [.] _PyEval_EvalFrameDefault
     0.01%  :1952495    libc.so.6             [.] ____wcstof_l_internal
     0.01%  python3.10  [kernel.kallsyms]     [k] error_entry
     0.01%  :1952495    [kernel.kallsyms]     [k] timerqueue_add
     0.01%  :1952495    [kernel.kallsyms]     [k] entry_SYSCALL_64_after_hwframe
     0.01%  :1952495    [kernel.kallsyms]     [k] perf_swevent_add
     0.01%  :1952495    [kernel.kallsyms]     [k] put_prev_entity
     0.01%  :1952495    [kernel.kallsyms]     [k] restore_fpregs_from_fpstate
     0.01%  python3.10  [kernel.kallsyms]     [k] futex_wait
     0.01%  :1952495    [kernel.kallsyms]     [k] update_load_avg
     0.01%  :1952495    python3.10            [.] 0x000000000015b525
     0.01%  :1952495    python3.10            [.] 0x000000000015b562
     0.01%  python3.10  python3.10            [.] 0x0000000000121734
     0.01%  python3.10  [kernel.kallsyms]     [k] try_to_wake_up
     0.01%  :1952495    libc.so.6             [.] __strcat_ssse3
     0.01%  :1952495    [kernel.kallsyms]     [k] sync_regs
     0.01%  :1952495    [kernel.kallsyms]     [k] ___perf_sw_event
     0.01%  python3.10  [kernel.kallsyms]     [k] select_task_rq_fair
     0.01%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_se
     0.01%  python3.10  libc.so.6             [.] __stpncpy_sse2_unaligned
     0.01%  python3.10  [kernel.kallsyms]     [k] copy_user_generic_unrolled
     0.01%  python3.10  [kernel.kallsyms]     [k] rb_insert_color
     0.01%  python3.10  [kernel.kallsyms]     [k] x86_setup_perfctr
     0.01%  python3.10  [kernel.kallsyms]     [k] futex_wait_queue_me
     0.01%  python3.10  [kernel.kallsyms]     [k] __irqentry_text_end
     0.01%  python3.10  [kernel.kallsyms]     [k] native_sched_clock
     0.01%  python3.10  python3.10            [.] 0x00000000001215a6
     0.01%  :1952495    python3.10            [.] 0x000000000011d510
     0.01%  :1952495    [kernel.kallsyms]     [k] check_preempt_curr
     0.01%  :1952495    [kernel.kallsyms]     [k] __schedule
     0.01%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node
     0.01%  python3.10  [kernel.kallsyms]     [k] inherit_task_group.isra.0
     0.01%  python3.10  [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.01%  :1952495    [kernel.kallsyms]     [k] update_min_vruntime
     0.01%  :1952495    [kernel.kallsyms]     [k] __fget_files
     0.01%  :1952495    [kernel.kallsyms]     [k] native_sched_clock
     0.01%  :1952495    python3.10            [.] 0x0000000000179c5c
     0.01%  :1952495    [kernel.kallsyms]     [k] select_idle_sibling
     0.01%  :1952495    [kernel.kallsyms]     [k] futex_wake
     0.01%  :1952495    [kernel.kallsyms]     [k] syscall_return_via_sysret
     0.01%  python3.10  [kernel.kallsyms]     [k] iterate_groups
     0.01%  :1952495    [kernel.kallsyms]     [k] __irqentry_text_end
     0.01%  :1952495    [kernel.kallsyms]     [k] clockevents_program_event
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_log_itrace_start
     0.01%  python3.10  libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.01%  :1952495    [kernel.kallsyms]     [k] iterate_groups
     0.01%  python3.10  [kernel.kallsyms]     [k] irqentry_exit_to_user_mode
     0.01%  :1952495    [kernel.kallsyms]     [k] set_next_entity
     0.01%  python3.10  [kernel.kallsyms]     [k] perf_event_sched_in
     0.01%  :1952495    [kernel.kallsyms]     [k] lapic_next_deadline
     0.01%  :1952495    libc.so.6             [.] re_search_internal
     0.01%  :1952495    python3.10            [.] 0x000000000015b564
     0.01%  :1952495    [kernel.kallsyms]     [k] event_sched_in
     0.01%  python3.10  libc.so.6             [.] __strstr_sse2_unaligned
     0.01%  python3.10  python3.10            [.] _PyObject_MakeTpCall
     0.01%  python3.10  [kernel.kallsyms]     [k] mutex_lock
     0.01%  python3.10  [kernel.kallsyms]     [k] update_sg_wakeup_stats
     0.01%  python3.10  [kernel.kallsyms]     [k] native_write_msr
     0.01%  python3.10  [kernel.kallsyms]     [k] exit_to_user_mode_loop
     0.01%  python3.10  [kernel.kallsyms]     [k] intel_pmu_bts_config
     0.01%  python3.10  [kernel.kallsyms]     [k] __entry_text_start
     0.01%  python3.10  [kernel.kallsyms]     [k] do_syscall_64
     0.01%  python3.10  [kernel.kallsyms]     [k] sched_clock_cpu
     0.01%  python3.10  python3.10            [.] _PyFunction_Vectorcall
     0.01%  python3.10  [kernel.kallsyms]     [k] dup_task_struct
     0.01%  python3.10  python3.10            [.] PyObject_GetAttr
     0.01%  :1952495    [kernel.kallsyms]     [k] pick_next_task_fair
     0.01%  python3.10  [kernel.kallsyms]     [k] user_disable_single_step
     0.01%  python3.10  python3.10            [.] _PyObject_GenericGetAttrWithDict
     0.01%  python3.10  [kernel.kallsyms]     [k] sync_regs
     0.01%  python3.10  [kernel.kallsyms]     [k] dequeue_task_fair
     0.01%  :1952495    [kernel.kallsyms]     [k] do_softirq
     0.01%  :1952495    python3.10            [.] 0x0000000000179c57
     0.00%  :1952495    libc.so.6             [.] __GI___strncasecmp_l_sse2
     0.00%  python3.10  [kernel.kallsyms]     [k] update_load_avg
     0.00%  :1952495    [kernel.kallsyms]     [k] __remove_hrtimer
     0.00%  :1952495    [kernel.kallsyms]     [k] sk_stream_alloc_skb
     0.00%  python3.10  [kernel.kallsyms]     [k] timerqueue_add
     0.00%  :1952495    [kernel.kallsyms]     [k] cgroup_rstat_updated
     0.00%  :1952495    python3.10            [.] _PyUnicode_InsertThousandsGrouping
     0.00%  :1952495    [kernel.kallsyms]     [k] futex_wait
     0.00%  python3.10  [kernel.kallsyms]     [k] x86_pmu_enable
     0.00%  :1952495    [kernel.kallsyms]     [k] update_cfs_group
     0.00%  :1952495    [kernel.kallsyms]     [k] fpregs_assert_state_consistent
     0.00%  :1952495    [kernel.kallsyms]     [k] switch_fpu_return
     0.00%  :1952495    python3.10            [.] 0x0000000000122877
     0.00%  :1952495    [kernel.kallsyms]     [k] x2apic_send_IPI
     0.00%  python3.10  python3.10            [.] 0x00000000001215b2
     0.00%  python3.10  [kernel.kallsyms]     [k] do_select
     0.00%  :1952495    [kernel.kallsyms]     [k] rb_next
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_event_update_userpage
     0.00%  :1952495    python3.10            [.] 0x000000000015b56d
     0.00%  :1952495    [kernel.kallsyms]     [k] native_queued_spin_lock_slowpath.part.0
     0.00%  python3.10  python3.10            [.] 0x000000000015effa
     0.00%  :1952495    [kernel.kallsyms]     [k] __tcp_transmit_skb
     0.00%  :1952495    [kernel.kallsyms]     [k] kmem_cache_free
     0.00%  :1952495    [kernel.kallsyms]     [k] irq_exit_rcu
     0.00%  :1952495    [kernel.kallsyms]     [k] update_curr
     0.00%  :1952495    python3.10            [.] _PyUnicodeWriter_PrepareInternal
     0.00%  :1952495    [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.00%  :1952495    [kernel.kallsyms]     [k] asm_sysvec_thermal
     0.00%  python3.10  [kernel.kallsyms]     [k] ctx_sched_in
     0.00%  :1952495    [kernel.kallsyms]     [k] __update_load_avg_se
     0.00%  :1952495    [kernel.kallsyms]     [k] _raw_spin_lock
     0.00%  :1952495    [kernel.kallsyms]     [k] psi_flags_change
     0.00%  :1952495    [kernel.kallsyms]     [k] perf_pmu_nop_int
     0.00%  :1952495    [kernel.kallsyms]     [k] native_apic_msr_eoi_write
     0.00%  :1952495    [kernel.kallsyms]     [k] __wake_up_common
     0.00%  python3.10  python3.10            [.] 0x0000000000143407
     0.00%  :1952495    [kernel.kallsyms]     [k] sched_clock_cpu
     0.00%  :1952495    [kernel.kallsyms]     [k] perf_mux_hrtimer_handler
     0.00%  :1952495    python3.10            [.] PyLong_FromString
     0.00%  :1952495    [kernel.kallsyms]     [k] rb_insert_color
     0.00%  :1952495    [kernel.kallsyms]     [k] error_return
     0.00%  :1952495    [kernel.kallsyms]     [k] tcp_write_xmit
     0.00%  :1952495    python3.10            [.] 0x000000000030e43f
     0.00%  :1952495    libc.so.6             [.] __vstrfmon_l_internal
     0.00%  :1952495    [kernel.kallsyms]     [k] update_process_times
     0.00%  python3.10  python3.10            [.] _PyObject_GC_New
     0.00%  python3.10  [kernel.kallsyms]     [k] __get_user_8
     0.00%  python3.10  [kernel.kallsyms]     [k] smp_call_function_many_cond
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_event_groups_insert
     0.00%  :1952495    [kernel.kallsyms]     [k] __netif_receive_skb_core.constprop.0
     0.00%  python3.10  python3.10            [.] PyUnicode_Format
     0.00%  python3.10  python3.10            [.] _PyObject_GenericSetAttrWithDict
     0.00%  python3.10  python3.10            [.] 0x00000000001795e5
     0.00%  :1952495    [kernel.kallsyms]     [k] check_preempt_wakeup
     0.00%  python3.10  [kernel.kallsyms]     [k] irq_exit_rcu
     0.00%  python3.10  [kernel.kallsyms]     [k] read_tsc
     0.00%  python3.10  [kernel.kallsyms]     [k] kfree
     0.00%  python3.10  python3.10            [.] 0x00000000001c5178
     0.00%  python3.10  libc.so.6             [.] __strncpy_sse2_unaligned
     0.00%  python3.10  python3.10            [.] 0x000000000015af8e
     0.00%  :1952495    [kernel.kallsyms]     [k] visit_groups_merge.constprop.0.isra.0
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_lock_task_context
     0.00%  python3.10  [kernel.kallsyms]     [k] timerqueue_del
     0.00%  python3.10  [kernel.kallsyms]     [k] cpuacct_charge
     0.00%  python3.10  [kernel.kallsyms]     [k] _raw_spin_lock_irqsave
     0.00%  python3.10  python3.10            [.] PyObject_Call
     0.00%  python3.10  python3.10            [.] 0x00000000001d48d4
     0.00%  python3.10  python3.10            [.] PyObject_SetAttr
     0.00%  python3.10  [kernel.kallsyms]     [k] find_vma
     0.00%  python3.10  [kernel.kallsyms]     [k] exit_to_user_mode_prepare
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_swevent_event
     0.00%  python3.10  [kernel.kallsyms]     [k] __memcg_kmem_charge_page
     0.00%  python3.10  python3.10            [.] 0x0000000000295037
     0.00%  python3.10  [kernel.kallsyms]     [k] __x64_sys_futex
     0.00%  :1952495    [kernel.kallsyms]     [k] xmit_one.constprop.0
     0.00%  python3.10  [kernel.kallsyms]     [k] ___perf_sw_event
     0.00%  python3.10  [kernel.kallsyms]     [k] __hrtimer_next_event_base
     0.00%  python3.10  [kernel.kallsyms]     [k] futex_wake
     0.00%  python3.10  [kernel.kallsyms]     [k] __mod_lruvec_page_state
     0.00%  python3.10  [kernel.kallsyms]     [k] enqueue_task_fair
     0.00%  python3.10  [kernel.kallsyms]     [k] hsw_get_event_constraints
     0.00%  python3.10  python3.10            [.] 0x00000000001736e0
     0.00%  python3.10  python3.10            [.] 0x000000000028e0a9
     0.00%  python3.10  [kernel.kallsyms]     [k] __update_load_avg_cfs_rq
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_output_copy
     0.00%  python3.10  [kernel.kallsyms]     [k] sched_cgroup_fork
     0.00%  python3.10  python3.10            [.] _PyUnicode_JoinArray
     0.00%  python3.10  python3.10            [.] 0x00000000001228c0
     0.00%  :1952495    python3.10            [.] _PyObject_LookupSpecial
     0.00%  python3.10  [kernel.kallsyms]     [k] schedule
     0.00%  :1952495    [kernel.kallsyms]     [k] set_task_cpu
     0.00%  python3.10  [kernel.kallsyms]     [k] ktime_add_safe
     0.00%  python3.10  [kernel.kallsyms]     [k] pick_next_task_fair
     0.00%  :1952495    [kernel.kallsyms]     [k] intel_thermal_interrupt
     0.00%  python3.10  [kernel.kallsyms]     [k] set_next_entity
     0.00%  python3.10  [kernel.kallsyms]     [k] __calc_delta
     0.00%  python3.10  [kernel.kallsyms]     [k] _raw_write_lock_irq
     0.00%  python3.10  [kernel.kallsyms]     [k] pids_can_fork
     0.00%  python3.10  [kernel.kallsyms]     [k] pmd_val
     0.00%  python3.10  libc.so.6             [.] 0x00000000001a09c0
     0.00%  python3.10  python3.10            [.] PyDict_GetItemWithError
     0.00%  python3.10  python3.10            [.] _PyStack_AsDict
     0.00%  python3.10  python3.10            [.] 0x000000000011b514
     0.00%  python3.10  python3.10            [.] 0x000000000012d084
     0.00%  python3.10  python3.10            [.] 0x0000000000131375
     0.00%  python3.10  python3.10            [.] 0x000000000015963a
     0.00%  python3.10  python3.10            [.] 0x00000000001664d0
     0.00%  python3.10  [kernel.kallsyms]     [k] intel_pmu_enable_all
     0.00%  python3.10  [kernel.kallsyms]     [k] futex_wait_setup
     0.00%  python3.10  [kernel.kallsyms]     [k] memcpy_erms
     0.00%  python3.10  [kernel.kallsyms]     [k] node_tag_clear
     0.00%  python3.10  [kernel.kallsyms]     [k] wp_page_copy
     0.00%  python3.10  ld-linux-x86-64.so.2  [.] _dl_check_all_versions
     0.00%  python3.10  python3.10            [.] _PyType_Lookup
     0.00%  python3.10  python3.10            [.] 0x000000000012b2a1
     0.00%  python3.10  python3.10            [.] 0x0000000000151d87
     0.00%  :1952495    python3.10            [.] 0x000000000017a8e0
     0.00%  python3.10  python3.10            [.] _PyUnicode_InsertThousandsGrouping
     0.00%  :1952495    python3.10            [.] 0x0000000000277390
     0.00%  :1952495    python3.10            [.] 0x000000000015d877
     0.00%  :1952495    [kernel.kallsyms]     [k] rseq_ip_fixup
     0.00%  :1952495    [kernel.kallsyms]     [k] perf_log_itrace_start
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_event_update_time
     0.00%  python3.10  [kernel.kallsyms]     [k] perf_swevent_add
     0.00%  :1952495    python3.10            [.] PyDict_SetItem
     0.00%  :1952495    [kernel.kallsyms]     [k] irq_enter_rcu
     0.00%  python3.10  python3.10            [.] 0x00000000001338a0
     0.00%  :1952495    python3.10            [.] 0x000000000013fcfd
     0.00%  python3.10  libc.so.6             [.] 0x00000000001a0986
     0.00%  :1952495    [kernel.kallsyms]     [k] futex_wait_setup
     0.00%  :1952495    [kernel.kallsyms]     [k] __lock_text_start
     0.00%  python3.10  [kernel.kallsyms]     [k] intel_cpuc_prepare
     0.00%  python3.10  [kernel.kallsyms]     [k] is_cpu_allowed
     0.00%  :1952495    [kernel.kallsyms]     [k] task_clock_event_add
     0.00%  :1952495    [kernel.kallsyms]     [k] __tcp_ack_snd_check
     0.00%  python3.10  [kernel.kallsyms]     [k] kmem_cache_alloc_node_trace
     0.00%  :1952495    python3.10            [.] 0x000000000013fd1f
     0.00%  python3.10  [kernel.kallsyms]     [k] update_curr
     0.00%  :1952495    [kernel.kallsyms]     [k] hrtimer_start_range_ns
     0.00%  :1952495    [kernel.kallsyms]     [k] ip_output
     0.00%  :1952495    python3.10            [.] 0x0000000000151eed
     0.00%  python3.10  [kernel.kallsyms]     [k] hrtimer_cancel
     0.00%  python3.10  [kernel.kallsyms]     [k] __hrtimer_run_queues
     0.00%  python3.10  [kernel.kallsyms]     [k] __lock_text_start
     0.00%  python3.10  [kernel.kallsyms]     [k] __intel_pmu_enable_all.constprop.0
     0.00%  :1952495    [kernel.kallsyms]     [k] __perf_event_task_sched_in
     0.00%  :1952495    libc.so.6             [.] 0x000000000019d9e0
     0.00%  python3.10  python3.10            [.] 0x0000000000138500
     0.00%  :1952495    python3.10            [.] 0x00000000001f618b
     0.00%  :1952495    [kernel.kallsyms]     [k] __softirqentry_text_start
     0.00%  python3.10  [kernel.kallsyms]     [k] __pagevec_lru_add
     0.00%  :1952495    [kernel.kallsyms]     [k] enqueue_entity
     0.00%  :1952495    python3.10            [.] 0x00000000001d93df
     0.00%  python3.10  [kernel.kallsyms]     [k] __rseq_handle_notify_resume
