# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 169K of event 'cycles'
# Event count (approx.): 86623323184
#
# Overhead  Command     Shared Object                             Symbol                                       
# ........  ..........  ........................................  .............................................
#
     0.16%  python3.10  python3.10                                [.] 0x0000000000121594
     0.15%  python3.10  python3.10                                [.] 0x0000000000121616
     0.15%  python3.10  python3.10                                [.] 0x000000000012167b
     0.15%  python3.10  python3.10                                [.] 0x000000000015b541
     0.15%  python3.10  python3.10                                [.] 0x00000000001215a7
     0.14%  python3.10  python3.10                                [.] 0x000000000012160f
     0.14%  python3.10  python3.10                                [.] 0x0000000000121600
     0.14%  python3.10  python3.10                                [.] 0x0000000000121635
     0.13%  python3.10  python3.10                                [.] 0x00000000001215e5
     0.12%  python3.10  python3.10                                [.] 0x0000000000179c42
     0.12%  python3.10  python3.10                                [.] 0x00000000001215bc
     0.11%  python3.10  python3.10                                [.] 0x00000000001215e2
     0.11%  python3.10  python3.10                                [.] 0x000000000015b506
     0.10%  python3.10  python3.10                                [.] 0x000000000012167f
     0.10%  python3.10  [kernel.kallsyms]                         [k] psi_group_change
     0.09%  python3.10  python3.10                                [.] 0x0000000000179be0
     0.09%  python3.10  python3.10                                [.] 0x0000000000121677
     0.09%  python3.10  python3.10                                [.] 0x0000000000173d50
     0.09%  python3.10  python3.10                                [.] 0x0000000000179c46
     0.08%  python3.10  python3.10                                [.] 0x00000000001215d8
     0.08%  python3.10  python3.10                                [.] 0x00000000001215a2
     0.07%  python3.10  python3.10                                [.] 0x000000000015b568
     0.07%  python3.10  python3.10                                [.] 0x0000000000179be8
     0.07%  python3.10  python3.10                                [.] 0x000000000015b500
     0.07%  python3.10  python3.10                                [.] 0x000000000015b56e
     0.07%  python3.10  python3.10                                [.] 0x000000000015b557
     0.07%  python3.10  python3.10                                [.] 0x0000000000179c02
     0.07%  python3.10  python3.10                                [.] 0x0000000000121740
     0.06%  python3.10  python3.10                                [.] 0x00000000001215a6
     0.06%  python3.10  python3.10                                [.] 0x000000000015b520
     0.06%  python3.10  [kernel.kallsyms]                         [k] syscall_exit_to_user_mode
     0.06%  python3.10  python3.10                                [.] 0x0000000000179be6
     0.06%  python3.10  python3.10                                [.] 0x00000000001215b2
     0.06%  python3.10  python3.10                                [.] 0x0000000000179c15
     0.06%  python3.10  python3.10                                [.] 0x000000000015b53b
     0.05%  python3.10  python3.10                                [.] 0x0000000000121660
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c5a
     0.05%  python3.10  python3.10                                [.] 0x0000000000179bee
     0.05%  python3.10  python3.10                                [.] 0x0000000000121628
     0.05%  python3.10  python3.10                                [.] 0x000000000012166e
     0.05%  python3.10  python3.10                                [.] 0x0000000000121675
     0.05%  python3.10  python3.10                                [.] 0x00000000001215ed
     0.05%  python3.10  [kernel.kallsyms]                         [k] memset_erms
     0.05%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.05%  python3.10  python3.10                                [.] 0x0000000000121638
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c0e
     0.05%  python3.10  python3.10                                [.] 0x0000000000179c56
     0.04%  python3.10  [kernel.kallsyms]                         [k] error_entry
     0.04%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_after_hwframe
     0.04%  python3.10  python3.10                                [.] _PyObject_MakeTpCall
     0.04%  python3.10  python3.10                                [.] 0x0000000000179c2e
     0.04%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.04%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.04%  python3.10  python3.10                                [.] 0x0000000000121599
     0.04%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.04%  python3.10  [kernel.kallsyms]                         [k] native_read_msr
     0.04%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.04%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_apic_timer_interrupt
     0.03%  python3.10  python3.10                                [.] 0x0000000000173d58
     0.03%  python3.10  libc.so.6                                 [.] __strcat_ssse3
     0.03%  python3.10  [kernel.kallsyms]                         [k] visit_groups_merge.constprop.0.isra.0
     0.03%  python3.10  python3.10                                [.] 0x0000000000121757
     0.03%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr_safe
     0.03%  python3.10  python3.10                                [.] 0x0000000000121754
     0.03%  python3.10  python3.10                                [.] 0x0000000000179c21
     0.03%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_se
     0.03%  python3.10  python3.10                                [.] 0x0000000000121749
     0.03%  python3.10  python3.10                                [.] 0x00000000001215a0
     0.03%  python3.10  python3.10                                [.] 0x0000000000179be4
     0.03%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.03%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.03%  python3.10  python3.10                                [.] 0x00000000001215c8
     0.03%  python3.10  [kernel.kallsyms]                         [k] enqueue_entity
     0.03%  python3.10  python3.10                                [.] 0x000000000012175a
     0.03%  python3.10  libc.so.6                                 [.] ____wcstof_l_internal
     0.03%  python3.10  python3.10                                [.] 0x00000000001215df
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.02%  python3.10  [kernel.kallsyms]                         [k] __irqentry_text_end
     0.02%  python3.10  python3.10                                [.] 0x0000000000121667
     0.02%  python3.10  python3.10                                [.] 0x0000000000179c13
     0.02%  python3.10  python3.10                                [.] _PyUnicode_JoinArray
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.02%  python3.10  python3.10                                [.] 0x00000000001215c0
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_first
     0.02%  python3.10  python3.10                                [.] 0x0000000000121734
     0.02%  python3.10  [kernel.kallsyms]                         [k] sync_regs
     0.02%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.02%  python3.10  python3.10                                [.] 0x0000000000173d54
     0.02%  python3.10  python3.10                                [.] 0x000000000015b504
     0.02%  python3.10  python3.10                                [.] 0x0000000000179c3b
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_insert_color
     0.02%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_run_queues
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.02%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.02%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.02%  python3.10  [kernel.kallsyms]                         [k] kfree
     0.02%  python3.10  python3.10                                [.] 0x000000000012164e
     0.02%  python3.10  [kernel.kallsyms]                         [k] __update_load_avg_cfs_rq
     0.02%  python3.10  libc.so.6                                 [.] ____wcstold_l_internal
     0.02%  python3.10  [kernel.kallsyms]                         [k] restore_fpregs_from_fpstate
     0.02%  python3.10  python3.10                                [.] 0x000000000015b50a
     0.02%  python3.10  python3.10                                [.] 0x000000000015b53e
     0.02%  python3.10  [kernel.kallsyms]                         [k] native_apic_msr_eoi_write
     0.02%  python3.10  python3.10                                [.] 0x000000000015b55b
     0.02%  python3.10  [kernel.kallsyms]                         [k] rb_erase
     0.02%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irqsave
     0.02%  python3.10  [kernel.kallsyms]                         [k] __get_user_8
     0.02%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.02%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_log_itrace_start
     0.02%  python3.10  python3.10                                [.] _PyObject_GenericGetAttrWithDict
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_event_alloc
     0.02%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.02%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.02%  python3.10  python3.10                                [.] PyLong_FromString
     0.02%  python3.10  python3.10                                [.] _PyObject_LookupSpecial
     0.01%  python3.10  python3.10                                [.] _PyUnicodeWriter_PrepareInternal
     0.01%  python3.10  python3.10                                [.] 0x000000000015b512
     0.01%  python3.10  [kernel.kallsyms]                         [k] inherit_event.constprop.0
     0.01%  python3.10  python3.10                                [.] 0x0000000000179bea
     0.01%  python3.10  python3.10                                [.] _PyUnicode_ToDecimalDigit
     0.01%  python3.10  [kernel.kallsyms]                         [k] try_to_wake_up
     0.01%  python3.10  [kernel.kallsyms]                         [k] timerqueue_add
     0.01%  python3.10  python3.10                                [.] 0x0000000000121751
     0.01%  python3.10  [kernel.kallsyms]                         [k] do_syscall_64
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_groups_insert
     0.01%  python3.10  python3.10                                [.] 0x0000000000127f5d
     0.01%  python3.10  python3.10                                [.] 0x000000000015b509
     0.01%  python3.10  [kernel.kallsyms]                         [k] enqueue_task_fair
     0.01%  python3.10  python3.10                                [.] 0x0000000000179c25
     0.01%  python3.10  python3.10                                [.] 0x00000000001d4961
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_task_rq_fair
     0.01%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.01%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.01%  python3.10  python3.10                                [.] 0x0000000000179c0b
     0.01%  python3.10  [kernel.kallsyms]                         [k] iterate_groups
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait
     0.01%  python3.10  [kernel.kallsyms]                         [k] put_prev_entity
     0.01%  python3.10  python3.10                                [.] 0x0000000000179c38
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_sg_wakeup_stats
     0.01%  python3.10  [kernel.kallsyms]                         [k] pick_next_task_fair
     0.01%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_thermal
     0.01%  python3.10  [kernel.kallsyms]                         [k] lapic_next_deadline
     0.01%  python3.10  [kernel.kallsyms]                         [k] check_preempt_wakeup
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node_trace
     0.01%  python3.10  python3.10                                [.] 0x0000000000179bfb
     0.01%  python3.10  [kernel.kallsyms]                         [k] pick_next_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_cfs_group
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.01%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.01%  python3.10  python3.10                                [.] 0x000000000017c3fc
     0.01%  python3.10  [kernel.kallsyms]                         [k] select_idle_sibling
     0.01%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_trace
     0.01%  python3.10  python3.10                                [.] 0x000000000015b50b
     0.01%  python3.10  python3.10                                [.] PyObject_GetAttr
     0.01%  python3.10  libc.so.6                                 [.] __strncat_ssse3
     0.01%  python3.10  [kernel.kallsyms]                         [k] reweight_entity
     0.01%  python3.10  [kernel.kallsyms]                         [k] read_tsc
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_time
     0.01%  python3.10  libc.so.6                                 [.] __memmove_sse2_unaligned_erms
     0.01%  python3.10  python3.10                                [.] 0x00000000001434c6
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wake
     0.01%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.01%  python3.10  [kernel.kallsyms]                         [k] zap_pte_range
     0.01%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.01%  python3.10  python3.10                                [.] _PyObject_GenericSetAttrWithDict
     0.01%  python3.10  [kernel.kallsyms]                         [k] ___slab_alloc
     0.01%  python3.10  python3.10                                [.] PyObject_GC_Del
     0.01%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_next_event_base
     0.01%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.01%  python3.10  [kernel.kallsyms]                         [k] __x64_sys_futex
     0.01%  python3.10  python3.10                                [.] PyUnicode_FromFormatV
     0.01%  python3.10  libc.so.6                                 [.] re_search_internal
     0.01%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_alloc_node
     0.01%  python3.10  python3.10                                [.] PyObject_SetAttr
     0.01%  python3.10  libc.so.6                                 [.] __vstrfmon_l_internal
     0.01%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.01%  python3.10  [vdso]                                    [.] __vdso_clock_gettime
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait_queue_me
     0.01%  python3.10  [kernel.kallsyms]                         [k] hrtimer_interrupt
     0.01%  python3.10  python3.10                                [.] 0x000000000015b55d
     0.01%  python3.10  python3.10                                [.] 0x00000000002942ff
     0.01%  python3.10  [kernel.kallsyms]                         [k] sched_clock_cpu
     0.01%  python3.10  libc.so.6                                 [.] __GI___strcasecmp_l_sse2
     0.01%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.01%  python3.10  python3.10                                [.] 0x000000000015b52a
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_iterate_ctx
     0.01%  python3.10  [kernel.kallsyms]                         [k] finish_task_switch.isra.0
     0.01%  python3.10  python3.10                                [.] 0x000000000015b534
     0.01%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_prepare
     0.01%  python3.10  python3.10                                [.] 0x000000000015b519
     0.01%  python3.10  [kernel.kallsyms]                         [k] ttwu_do_activate
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_get_event_constraints
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_txn
     0.01%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_post_alloc_hook
     0.01%  python3.10  python3.10                                [.] 0x00000000001d495d
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_setup_perfctr
     0.01%  python3.10  [kernel.kallsyms]                         [k] set_next_entity
     0.01%  python3.10  python3.10                                [.] _PyType_Lookup
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_min_vruntime
     0.01%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_event_init
     0.01%  python3.10  [kernel.kallsyms]                         [k] find_vma_prev
     0.01%  python3.10  python3.10                                [.] 0x0000000000179be9
     0.01%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.01%  python3.10  [kernel.kallsyms]                         [k] update_rq_clock
     0.01%  python3.10  [kernel.kallsyms]                         [k] memcpy_erms
     0.01%  python3.10  [kernel.kallsyms]                         [k] check_preempt_curr
     0.01%  python3.10  python3.10                                [.] _PyUnicode_InsertThousandsGrouping
     0.01%  python3.10  [kernel.kallsyms]                         [k] __sysvec_apic_timer_interrupt
     0.01%  python3.10  [kernel.kallsyms]                         [k] rcu_read_unlock_strict
     0.01%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.01%  python3.10  python3.10                                [.] 0x0000000000121641
     0.01%  python3.10  [kernel.kallsyms]                         [k] slab_free_freelist_hook.constprop.0
     0.01%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.01%  python3.10  libc.so.6                                 [.] round_and_return
     0.01%  python3.10  python3.10                                [.] _PyLong_New
     0.01%  python3.10  [kernel.kallsyms]                         [k] switch_fpu_return
     0.01%  python3.10  python3.10                                [.] 0x0000000000122820
     0.01%  python3.10  python3.10                                [.] 0x000000000016a34d
     0.01%  python3.10  [kernel.kallsyms]                         [k] __lock_text_start
     0.01%  python3.10  python3.10                                [.] 0x000000000015b554
     0.01%  python3.10  [kernel.kallsyms]                         [k] __entry_text_start
     0.01%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock_irq
     0.01%  python3.10  [kernel.kallsyms]                         [k] __cgroup_account_cputime
     0.01%  python3.10  [kernel.kallsyms]                         [k] futex_wait_setup
     0.01%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
     0.00%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.00%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.00%  python3.10  [kernel.kallsyms]                         [k] pick_next_task
     0.00%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.00%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.00%  python3.10  [kernel.kallsyms]                         [k] irq_exit_rcu
     0.00%  python3.10  python3.10                                [.] 0x000000000015efdc
     0.00%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.00%  python3.10  python3.10                                [.] PyObject_Format
     0.00%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_event
     0.00%  python3.10  python3.10                                [.] 0x0000000000206c7a
     0.00%  python3.10  [kernel.kallsyms]                         [k] dequeue_task_fair
     0.00%  python3.10  [kernel.kallsyms]                         [k] perf_exclude_event
     0.00%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.00%  python3.10  [kernel.kallsyms]                         [k] task_clock_event_add
     0.00%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.00%  python3.10  python3.10                                [.] 0x0000000000121672
     0.00%  python3.10  [kernel.kallsyms]                         [k] intel_get_event_constraints
     0.00%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.00%  python3.10  python3.10                                [.] 0x0000000000188d97
     0.00%  python3.10  python3.10                                [.] PyList_Append
     0.00%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.00%  python3.10  libc.so.6                                 [.] parse_expression
     0.00%  python3.10  python3.10                                [.] 0x0000000000152321
     0.00%  python3.10  [kernel.kallsyms]                         [k] clockevents_program_event
     0.00%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.00%  python3.10  [kernel.kallsyms]                         [k] get_obj_cgroup_from_current
     0.00%  python3.10  [kernel.kallsyms]                         [k] inherit_task_group.isra.0
     0.00%  python3.10  [kernel.kallsyms]                         [k] cpuacct_charge
     0.00%  python3.10  [kernel.kallsyms]                         [k] __srcu_read_unlock
     0.00%  python3.10  [kernel.kallsyms]                         [k] timerqueue_del
     0.00%  python3.10  [kernel.kallsyms]                         [k] mutex_lock
     0.00%  python3.10  python3.10                                [.] 0x0000000000179c18
     0.00%  python3.10  [kernel.kallsyms]                         [k] intel_cpuc_prepare
     0.00%  python3.10  python3.10                                [.] 0x0000000000179592
     0.00%  python3.10  python3.10                                [.] 0x000000000012174d
     0.00%  python3.10  python3.10                                [.] 0x000000000018bfd8
     0.00%  python3.10  [kernel.kallsyms]                         [k] scheduler_tick
     0.00%  python3.10  python3.10                                [.] 0x0000000000174090
     0.00%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.00%  python3.10  [kernel.kallsyms]                         [k] do_futex
     0.00%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.00%  python3.10  python3.10                                [.] 0x000000000018d155
     0.00%  python3.10  [kernel.kallsyms]                         [k] __task_pid_nr_ns
     0.00%  python3.10  python3.10                                [.] PyTuple_New
     0.00%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.00%  python3.10  [kernel.kallsyms]                         [k] should_failslab
     0.00%  python3.10  [kernel.kallsyms]                         [k] syscall_enter_from_user_mode
     0.00%  python3.10  python3.10                                [.] 0x000000000012291a
     0.00%  python3.10  [kernel.kallsyms]                         [k] rcu_core
     0.00%  python3.10  [kernel.kallsyms]                         [k] mutex_unlock
     0.00%  python3.10  [kernel.kallsyms]                         [k] __mod_memcg_lruvec_state
     0.00%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_out
     0.00%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.00%  python3.10  [kernel.kallsyms]                         [k] intel_put_event_constraints
     0.00%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.00%  python3.10  [kernel.kallsyms]                         [k] __hrtimer_init
     0.00%  python3.10  [kernel.kallsyms]                         [k] native_queued_spin_lock_slowpath.part.0
     0.00%  python3.10  [kernel.kallsyms]                         [k] set_next_buddy
     0.00%  python3.10  [kernel.kallsyms]                         [k] available_idle_cpu
     0.00%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.00%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_hw_config
     0.00%  python3.10  python3.10                                [.] 0x00000000001740af
     0.00%  python3.10  [kernel.kallsyms]                         [k] select_idle_cpu
     0.00%  python3.10  [kernel.kallsyms]                         [k] therm_throt_process
     0.00%  python3.10  python3.10                                [.] 0x000000000018d589
     0.00%  python3.10  [kernel.kallsyms]                         [k] psi_flags_change
     0.00%  python3.10  [kernel.kallsyms]                         [k] get_nohz_timer_target
     0.00%  python3.10  python3.10                                [.] _PyObject_GC_New
     0.00%  python3.10  [kernel.kallsyms]                         [k] find_vma
     0.00%  python3.10  libc.so.6                                 [.] ____wcstod_l_internal
     0.00%  python3.10  python3.10                                [.] _PyDict_DelItem_KnownHash
     0.00%  python3.10  [kernel.kallsyms]                         [k] asm_sysvec_call_function_single
     0.00%  python3.10  [kernel.kallsyms]                         [k] x86_pmu_disable
     0.00%  python3.10  ld-linux-x86-64.so.2                      [.] _dl_check_all_versions
     0.00%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.00%  python3.10  [kernel.kallsyms]                         [k] get_futex_key
     0.00%  python3.10  [kernel.kallsyms]                         [k] __get_user_nocheck_4
     0.00%  python3.10  python3.10                                [.] 0x000000000018bfef
     0.00%  python3.10  [kernel.kallsyms]                         [k] hrtimer_update_next_event
     0.00%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.00%  python3.10  [kernel.kallsyms]                         [k] sysvec_apic_timer_interrupt
     0.00%  python3.10  python3.10                                [.] _PyUnicodeWriter_Finish
     0.00%  python3.10  [kernel.kallsyms]                         [k] fpregs_assert_state_consistent
     0.00%  python3.10  [kernel.kallsyms]                         [k] __put_user_nocheck_8
     0.00%  python3.10  python3.10                                [.] 0x000000000015b56c
     0.00%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.00%  python3.10  python3.10                                [.] 0x000000000015f000
     0.00%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_void
     0.00%  python3.10  python3.10                                [.] 0x000000000015c5b0
     0.00%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.00%  python3.10  python3.10                                [.] 0x000000000028e0a9
     0.00%  python3.10  [kernel.kallsyms]                         [k] __cond_resched
     0.00%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.00%  python3.10  [kernel.kallsyms]                         [k] sched_clock
     0.00%  python3.10  python3.10                                [.] PyUnicode_New
     0.00%  python3.10  [kernel.kallsyms]                         [k] perf_event_init_context
     0.00%  python3.10  python3.10                                [.] 0x00000000001795a2
     0.00%  python3.10  python3.10                                [.] 0x000000000015b16f
     0.00%  python3.10  python3.10                                [.] 0x000000000015b54b
     0.00%  python3.10  [kernel.kallsyms]                         [k] dequeue_entity
     0.00%  python3.10  [kernel.kallsyms]                         [k] __softirqentry_text_start
     0.00%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.00%  python3.10  python3.10                                [.] PyTraceBack_Here
     0.00%  python3.10  libc.so.6                                 [.] 0x000000000019d981
     0.00%  python3.10  [kernel.kallsyms]                         [k] calc_timer_values
     0.00%  python3.10  [kernel.kallsyms]                         [k] __update_blocked_fair
     0.00%  python3.10  [kernel.kallsyms]                         [k] security_perf_event_alloc
     0.00%  python3.10  libcrypto.so.3                            [.] CRYPTO_atomic_load
     0.00%  python3.10  [kernel.kallsyms]                         [k] run_posix_cpu_timers
     0.00%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.00%  python3.10  [kernel.kallsyms]                         [k] __slab_free
     0.00%  python3.10  [kernel.kallsyms]                         [k] error_return
     0.00%  python3.10  [kernel.kallsyms]                         [k] perf_output_begin
     0.00%  python3.10  [kernel.kallsyms]                         [k] hrtimer_wakeup
     0.00%  python3.10  [kernel.kallsyms]                         [k] alloc_vmap_area
     0.00%  python3.10  python3.10                                [.] 0x000000000012809b
     0.00%  python3.10  libc.so.6                                 [.] 0x00000000001a0970
     0.00%  python3.10  [kernel.kallsyms]                         [k] __mutex_init
     0.00%  python3.10  python3.10                                [.] 0x000000000013fd1f
     0.00%  python3.10  [kernel.kallsyms]                         [k] entry_SYSCALL_64_safe_stack
     0.00%  python3.10  python3.10                                [.] PyType_GenericAlloc
     0.00%  python3.10  libc.so.6                                 [.] 0x00000000001a0994
     0.00%  python3.10  python3.10                                [.] 0x000000000020beee
     0.00%  python3.10  python3.10                                [.] 0x000000000017c380
     0.00%  python3.10  python3.10                                [.] 0x0000000000169ae0
     0.00%  python3.10  [kernel.kallsyms]                         [k] update_process_times
     0.00%  python3.10  python3.10                                [.] 0x0000000000293e7a
     0.00%  python3.10  [vdso]                                    [.] 0x00000000000007f7
     0.00%  python3.10  [kernel.kallsyms]                         [k] list_add_event
     0.00%  python3.10  python3.10                                [.] 0x000000000028e0c0
     0.00%  python3.10  python3.10                                [.] 0x00000000001435a2
     0.00%  python3.10  python3.10                                [.] 0x000000000011b514
     0.00%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.00%  python3.10  [kernel.kallsyms]                         [k] task_tick_fair
     0.00%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.00%  python3.10  python3.10                                [.] 0x0000000000179bfe
     0.00%  python3.10  [kernel.kallsyms]                         [k] __rseq_handle_notify_resume
     0.00%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.00%  python3.10  [kernel.kallsyms]                         [k] rseq_ip_fixup
     0.00%  python3.10  [kernel.kallsyms]                         [k] x86_reserve_hardware
     0.00%  python3.10  [kernel.kallsyms]                         [k] account_user_time
     0.00%  python3.10  [kernel.kallsyms]                         [k] __remove_hrtimer
     0.00%  python3.10  [kernel.kallsyms]                         [k] acct_account_cputime
