# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 4K of event 'cycles'
# Event count (approx.): 602680337
#
# Overhead  Command     Shared Object                             Symbol                                        
# ........  ..........  ........................................  ..............................................
#
     0.35%  python3.10  python3.10                                [.] 0x000000000020bec2
     0.35%  python3.10  python3.10                                [.] 0x000000000015ef78
     0.34%  python3.10  python3.10                                [.] 0x0000000000127f54
     0.33%  python3.10  python3.10                                [.] 0x00000000001795d6
     0.32%  python3.10  python3.10                                [.] _PyObject_GetMethod
     0.31%  python3.10  python3.10                                [.] 0x000000000020bf65
     0.29%  python3.10  python3.10                                [.] 0x000000000017f87a
     0.29%  python3.10  libc.so.6                                 [.] __strncpy_sse2_unaligned
     0.29%  python3.10  python3.10                                [.] _PyDict_GetItemIdWithError
     0.29%  python3.10  python3.10                                [.] 0x00000000001795fe
     0.28%  python3.10  python3.10                                [.] 0x0000000000174090
     0.28%  python3.10  python3.10                                [.] 0x000000000015efc7
     0.28%  python3.10  [kernel.kallsyms]                         [k] rb_next
     0.27%  python3.10  libc.so.6                                 [.] re_compile_internal
     0.27%  python3.10  [kernel.kallsyms]                         [k] __fget_files
     0.27%  python3.10  [kernel.kallsyms]                         [k] native_sched_clock
     0.27%  python3.10  [kernel.kallsyms]                         [k] syscall_return_via_sysret
     0.27%  python3.10  [kernel.kallsyms]                         [k] perf_event_update_userpage
     0.27%  python3.10  [kernel.kallsyms]                         [k] __schedule
     0.26%  python3.10  python3.10                                [.] 0x00000000001b640a
     0.25%  python3.10  [kernel.kallsyms]                         [k] tcp_chrono_stop
     0.25%  python3.10  python3.10                                [.] 0x0000000000137ada
     0.25%  python3.10  python3.10                                [.] 0x0000000000137a60
     0.25%  python3.10  [kernel.kallsyms]                         [k] ip_finish_output2
     0.25%  python3.10  python3.10                                [.] 0x00000000001740af
     0.24%  python3.10  libc.so.6                                 [.] parse_expression
     0.24%  python3.10  [kernel.kallsyms]                         [k] sk_wait_data
     0.24%  python3.10  [kernel.kallsyms]                         [k] rcu_read_unlock_strict
     0.24%  python3.10  python3.10                                [.] 0x0000000000137b1b
     0.23%  python3.10  python3.10                                [.] 0x0000000000188f04
     0.23%  python3.10  python3.10                                [.] PyUnicode_New
     0.23%  python3.10  python3.10                                [.] PyObject_Format
     0.22%  python3.10  python3.10                                [.] _PyTime_FromSecondsObject
     0.22%  python3.10  [kernel.kallsyms]                         [k] __kmalloc_node_track_caller
     0.22%  python3.10  libc.so.6                                 [.] str_to_mpn
     0.22%  python3.10  python3.10                                [.] 0x0000000000188efb
     0.22%  python3.10  python3.10                                [.] 0x000000000015b537
     0.21%  python3.10  libc.so.6                                 [.] __strncat_sse2_unaligned
     0.21%  python3.10  python3.10                                [.] 0x000000000018bfea
     0.21%  python3.10  python3.10                                [.] 0x000000000015ef70
     0.21%  python3.10  libc.so.6                                 [.] 0x00000000001a0940
     0.21%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_in
     0.20%  python3.10  [kernel.kallsyms]                         [k] copy_user_enhanced_fast_string
     0.20%  python3.10  [kernel.kallsyms]                         [k] __tcp_transmit_skb
     0.19%  python3.10  python3.10                                [.] 0x0000000000121653
     0.19%  python3.10  [kernel.kallsyms]                         [k] ip_rcv_core
     0.19%  python3.10  [kernel.kallsyms]                         [k] sock_sendmsg
     0.19%  python3.10  libcrypto.so.3                            [.] 0x0000000000307742
     0.19%  python3.10  libc.so.6                                 [.] __res_context_send
     0.19%  python3.10  python3.10                                [.] 0x0000000000296fb2
     0.19%  python3.10  python3.10                                [.] 0x00000000001d48e8
     0.19%  python3.10  python3.10                                [.] 0x000000000011b2f6
     0.19%  python3.10  python3.10                                [.] 0x000000000015b546
     0.19%  python3.10  python3.10                                [.] 0x0000000000188e5e
     0.19%  python3.10  [kernel.kallsyms]                         [k] _raw_spin_lock
     0.18%  python3.10  python3.10                                [.] PyUnicode_AsEncodedString
     0.18%  python3.10  python3.10                                [.] 0x000000000018d1c1
     0.18%  python3.10  python3.10                                [.] 0x000000000017c3bb
     0.18%  python3.10  python3.10                                [.] 0x000000000018d59d
     0.18%  python3.10  python3.10                                [.] _PyLong_Format
     0.18%  python3.10  python3.10                                [.] 0x000000000015d9a4
     0.18%  python3.10  python3.10                                [.] 0x000000000018c0a9
     0.18%  python3.10  python3.10                                [.] 0x000000000018bfa0
     0.18%  python3.10  [kernel.kallsyms]                         [k] psi_task_change
     0.17%  python3.10  python3.10                                [.] 0x0000000000188de8
     0.17%  python3.10  python3.10                                [.] 0x000000000015b509
     0.17%  python3.10  python3.10                                [.] 0x00000000002949b8
     0.17%  python3.10  libcrypto.so.3                            [.] OPENSSL_cleanse
     0.17%  python3.10  [kernel.kallsyms]                         [k] merge_sched_in
     0.17%  python3.10  [kernel.kallsyms]                         [k] __sys_recvfrom
     0.17%  python3.10  python3.10                                [.] 0x000000000018bfef
     0.17%  python3.10  python3.10                                [.] 0x00000000001b63ff
     0.17%  python3.10  python3.10                                [.] PyFunction_NewWithQualName
     0.17%  python3.10  libc.so.6                                 [.] 0x00000000001a0986
     0.17%  python3.10  python3.10                                [.] 0x00000000002cfec0
     0.17%  python3.10  python3.10                                [.] _PyFunction_Vectorcall
     0.16%  python3.10  libc.so.6                                 [.] __GI___strncasecmp_l_sse2
     0.16%  python3.10  python3.10                                [.] 0x0000000000277396
     0.16%  python3.10  python3.10                                [.] 0x0000000000142112
     0.16%  python3.10  [kernel.kallsyms]                         [k] memcg_slab_free_hook
     0.16%  python3.10  [kernel.kallsyms]                         [k] __perf_event_task_sched_out
     0.16%  python3.10  python3.10                                [.] 0x000000000018d077
     0.16%  python3.10  libcrypto.so.3                            [.] EVP_MD_CTX_reset
     0.16%  python3.10  python3.10                                [.] 0x0000000000188dd7
     0.16%  python3.10  python3.10                                [.] 0x0000000000206a23
     0.16%  python3.10  python3.10                                [.] 0x000000000011d4fc
     0.16%  python3.10  python3.10                                [.] 0x00000000001740bb
     0.16%  python3.10  libc.so.6                                 [.] 0x00000000001a1104
     0.16%  python3.10  [kernel.kallsyms]                         [k] update_load_avg
     0.15%  python3.10  python3.10                                [.] 0x000000000018d165
     0.15%  python3.10  python3.10                                [.] 0x000000000018d060
     0.15%  python3.10  libcrypto.so.3                            [.] 0x0000000000308214
     0.15%  python3.10  python3.10                                [.] 0x00000000001732c6
     0.15%  python3.10  python3.10                                [.] 0x000000000017c3a6
     0.15%  python3.10  python3.10                                [.] 0x000000000018d7ed
     0.15%  python3.10  python3.10                                [.] 0x000000000029b7b0
     0.15%  python3.10  python3.10                                [.] PyModule_GetState
     0.15%  python3.10  python3.10                                [.] 0x000000000015ef93
     0.15%  python3.10  python3.10                                [.] 0x0000000000188ec7
     0.15%  python3.10  libc.so.6                                 [.] parse_qtd_backslash
     0.14%  python3.10  [kernel.kallsyms]                         [k] get_nohz_timer_target
     0.14%  python3.10  _hashlib.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000006e60
     0.14%  python3.10  python3.10                                [.] 0x00000000002cfec8
     0.14%  python3.10  python3.10                                [.] 0x00000000002ec2e5
     0.14%  python3.10  [kernel.kallsyms]                         [k] __ksize
     0.14%  python3.10  [kernel.kallsyms]                         [k] select_task_rq_fair
     0.14%  python3.10  python3.10                                [.] 0x0000000000189853
     0.14%  python3.10  python3.10                                [.] 0x000000000018d4b6
     0.14%  python3.10  python3.10                                [.] 0x0000000000206c22
     0.14%  python3.10  [kernel.kallsyms]                         [k] tcp_rate_check_app_limited
     0.14%  python3.10  libcrypto.so.3                            [.] 0x00000000003076cc
     0.14%  python3.10  python3.10                                [.] 0x000000000015f037
     0.14%  python3.10  python3.10                                [.] 0x000000000015f073
     0.14%  python3.10  python3.10                                [.] 0x000000000018d066
     0.14%  python3.10  python3.10                                [.] PyObject_Free
     0.13%  python3.10  python3.10                                [.] PyDict_Contains
     0.13%  python3.10  [kernel.kallsyms]                         [k] tcp_rcv_established
     0.13%  python3.10  [kernel.kallsyms]                         [k] perf_swevent_add
     0.13%  python3.10  python3.10                                [.] 0x0000000000189083
     0.13%  python3.10  libcrypto.so.3                            [.] SHA256_Init
     0.13%  python3.10  python3.10                                [.] 0x000000000017c380
     0.13%  python3.10  [kernel.kallsyms]                         [k] __calc_delta
     0.13%  python3.10  [kernel.kallsyms]                         [k] _copy_from_user
     0.13%  python3.10  [kernel.kallsyms]                         [k] hrtick_update
     0.13%  python3.10  [kernel.kallsyms]                         [k] perf_event_context_sched_out
     0.13%  python3.10  python3.10                                [.] _PyErr_SetObject
     0.13%  python3.10  python3.10                                [.] 0x000000000015236f
     0.13%  python3.10  python3.10                                [.] 0x0000000000122877
     0.13%  python3.10  [kernel.kallsyms]                         [k] sk_filter_trim_cap
     0.13%  python3.10  libc.so.6                                 [.] 0x00000000001a0984
     0.13%  python3.10  python3.10                                [.] 0x00000000001406e0
     0.13%  python3.10  python3.10                                [.] 0x000000000018d06d
     0.13%  python3.10  python3.10                                [.] 0x000000000018d547
     0.13%  python3.10  libcrypto.so.3                            [.] 0x000000000030830f
     0.13%  python3.10  python3.10                                [.] 0x00000000001d48e1
     0.13%  python3.10  python3.10                                [.] 0x00000000001228eb
     0.13%  python3.10  [kernel.kallsyms]                         [k] generic_smp_call_function_single_interrupt
     0.13%  python3.10  libcrypto.so.3                            [.] 0x0000000000303a80
     0.13%  python3.10  libcrypto.so.3                            [.] 0x0000000000308088
     0.13%  python3.10  libcrypto.so.3                            [.] 0x0000000000308322
     0.13%  python3.10  python3.10                                [.] 0x0000000000122913
     0.13%  python3.10  python3.10                                [.] 0x000000000015f020
     0.13%  python3.10  python3.10                                [.] 0x000000000018d740
     0.12%  python3.10  [kernel.kallsyms]                         [k] exit_to_user_mode_loop
     0.12%  python3.10  libcrypto.so.3                            [.] 0x00000000003070c8
     0.12%  python3.10  libcrypto.so.3                            [.] 0x000000000030753c
     0.12%  python3.10  python3.10                                [.] 0x0000000000206b73
     0.12%  python3.10  [kernel.kallsyms]                         [k] __intel_pmu_enable_all.constprop.0
     0.12%  python3.10  [kernel.kallsyms]                         [k] __check_object_size.part.0
     0.12%  python3.10  python3.10                                [.] 0x000000000017c3aa
     0.12%  python3.10  python3.10                                [.] 0x0000000000188dd3
     0.12%  python3.10  python3.10                                [.] 0x000000000018bf7a
     0.12%  python3.10  python3.10                                [.] 0x00000000001732ee
     0.12%  python3.10  python3.10                                [.] 0x000000000017f965
     0.12%  python3.10  python3.10                                [.] 0x000000000017f5f4
     0.12%  python3.10  python3.10                                [.] 0x0000000000188d7f
     0.12%  python3.10  python3.10                                [.] 0x00000000002067a3
     0.12%  python3.10  python3.10                                [.] 0x0000000000137af0
     0.12%  python3.10  python3.10                                [.] 0x000000000017a8a3
     0.12%  python3.10  python3.10                                [.] 0x000000000020beee
     0.12%  python3.10  [kernel.kallsyms]                         [k] fput_many
     0.12%  python3.10  python3.10                                [.] 0x0000000000188e95
     0.12%  python3.10  python3.10                                [.] 0x0000000000137b00
     0.12%  python3.10  python3.10                                [.] 0x00000000001d4955
     0.12%  python3.10  [kernel.kallsyms]                         [k] tcp_send_mss
     0.12%  python3.10  python3.10                                [.] 0x00000000002cfee1
     0.12%  python3.10  libcrypto.so.3                            [.] 0x0000000000308126
     0.12%  python3.10  python3.10                                [.] 0x00000000001280ea
     0.12%  python3.10  python3.10                                [.] 0x000000000030e3ca
     0.11%  python3.10  [kernel.kallsyms]                         [k] __inet_lookup_established
     0.11%  python3.10  python3.10                                [.] 0x00000000001b640c
     0.11%  python3.10  python3.10                                [.] 0x00000000001598cd
     0.11%  python3.10  python3.10                                [.] 0x0000000000188e69
     0.11%  python3.10  _hashlib.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000007f26
     0.11%  python3.10  libc.so.6                                 [.] __stpncpy_sse2_unaligned
     0.11%  python3.10  python3.10                                [.] PyEval_RestoreThread
     0.11%  python3.10  [kernel.kallsyms]                         [k] dequeue_task
     0.11%  python3.10  [kernel.kallsyms]                         [k] event_sched_in
     0.11%  python3.10  python3.10                                [.] 0x00000000001a3036
     0.11%  python3.10  python3.10                                [.] 0x0000000000296f89
     0.11%  python3.10  python3.10                                [.] 0x0000000000188ffe
     0.11%  python3.10  python3.10                                [.] 0x000000000018c0be
     0.11%  python3.10  python3.10                                [.] PyObject_GetItem
     0.11%  python3.10  [kernel.kallsyms]                         [k] update_curr
     0.11%  python3.10  python3.10                                [.] 0x0000000000166076
     0.11%  python3.10  python3.10                                [.] 0x0000000000242cc4
     0.11%  python3.10  libc.so.6                                 [.] 0x00000000001a123b
     0.11%  python3.10  libcrypto.so.3                            [.] EVP_MD_CTX_set_flags
     0.10%  python3.10  python3.10                                [.] 0x0000000000137a88
     0.10%  python3.10  [kernel.kallsyms]                         [k] tcp_write_xmit
     0.10%  python3.10  python3.10                                [.] PyObject_GC_Del
     0.10%  python3.10  python3.10                                [.] 0x00000000001215c4
     0.10%  python3.10  libcrypto.so.3                            [.] 0x0000000000307a2b
     0.10%  python3.10  [kernel.kallsyms]                         [k] aa_profile_af_perm
     0.10%  python3.10  python3.10                                [.] _PyUnicodeWriter_Init
     0.10%  python3.10  [kernel.kallsyms]                         [k] tcp_v4_rcv
     0.10%  python3.10  [kernel.kallsyms]                         [k] tcp_recvmsg_locked
     0.10%  python3.10  libcrypto.so.3                            [.] 0x000000000030797f
     0.10%  python3.10  _hashlib.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000006eae
     0.10%  python3.10  python3.10                                [.] 0x00000000001732da
     0.10%  python3.10  python3.10                                [.] 0x0000000000128097
     0.10%  python3.10  python3.10                                [.] 0x000000000018d525
     0.10%  python3.10  python3.10                                [.] PyObject_GetBuffer
     0.10%  python3.10  python3.10                                [.] 0x000000000013399a
     0.10%  python3.10  python3.10                                [.] 0x0000000000206913
     0.10%  python3.10  [kernel.kallsyms]                         [k] slab_free_freelist_hook.constprop.0
     0.10%  python3.10  python3.10                                [.] 0x000000000011eac5
     0.10%  python3.10  python3.10                                [.] 0x00000000001796a9
     0.10%  python3.10  python3.10                                [.] 0x0000000000294f9e
     0.10%  python3.10  [kernel.kallsyms]                         [k] task_clock_event_add
     0.10%  python3.10  python3.10                                [.] 0x0000000000137aad
     0.10%  python3.10  python3.10                                [.] 0x00000000001433cc
     0.09%  python3.10  python3.10                                [.] 0x0000000000180a62
     0.09%  python3.10  [kernel.kallsyms]                         [k] ip_rcv
     0.09%  python3.10  libcrypto.so.3                            [.] 0x00000000003071ba
     0.09%  python3.10  [kernel.kallsyms]                         [k] ___perf_sw_event
     0.09%  python3.10  python3.10                                [.] 0x00000000002774b6
     0.09%  python3.10  python3.10                                [.] 0x0000000000188ed5
     0.09%  python3.10  python3.10                                [.] 0x00000000001795a2
     0.09%  python3.10  python3.10                                [.] 0x000000000015b54b
     0.09%  python3.10  python3.10                                [.] 0x00000000002b3860
     0.09%  python3.10  python3.10                                [.] 0x00000000001b5acd
     0.09%  python3.10  python3.10                                [.] 0x0000000000137a66
     0.09%  python3.10  python3.10                                [.] _PyLong_New
     0.09%  python3.10  [kernel.kallsyms]                         [k] tcp_release_cb
     0.09%  python3.10  python3.10                                [.] 0x0000000000206a1e
     0.09%  python3.10  python3.10                                [.] 0x00000000001894b1
     0.09%  python3.10  python3.10                                [.] 0x00000000002b39f3
     0.09%  python3.10  python3.10                                [.] 0x0000000000188dfe
     0.09%  python3.10  python3.10                                [.] PyUnicode_Decode
     0.09%  python3.10  [kernel.kallsyms]                         [k] security_socket_recvmsg
     0.09%  python3.10  python3.10                                [.] 0x0000000000188eff
     0.09%  python3.10  libcrypto.so.3                            [.] 0x0000000000307a8e
     0.09%  python3.10  libcrypto.so.3                            [.] CRYPTO_zalloc
     0.09%  python3.10  python3.10                                [.] 0x000000000018d237
     0.09%  python3.10  libcrypto.so.3                            [.] 0x00000000003076b7
     0.09%  python3.10  python3.10                                [.] 0x0000000000294738
     0.09%  python3.10  python3.10                                [.] 0x0000000000206c3b
     0.09%  python3.10  [kernel.kallsyms]                         [k] psi_task_switch
     0.09%  python3.10  python3.10                                [.] 0x0000000000165f2c
     0.09%  python3.10  python3.10                                [.] 0x000000000017c3e3
     0.09%  python3.10  python3.10                                [.] 0x0000000000243819
     0.09%  python3.10  python3.10                                [.] 0x00000000001a3106
     0.09%  python3.10  python3.10                                [.] 0x0000000000206737
     0.09%  python3.10  python3.10                                [.] 0x0000000000122824
     0.09%  python3.10  python3.10                                [.] 0x0000000000188d36
     0.09%  python3.10  libcrypto.so.3                            [.] 0x000000000030804f
     0.09%  python3.10  python3.10                                [.] 0x0000000000127ea0
     0.09%  python3.10  python3.10                                [.] 0x000000000016a31a
     0.09%  python3.10  [kernel.kallsyms]                         [k] rseq_ip_fixup
     0.09%  python3.10  [kernel.kallsyms]                         [k] fput
     0.09%  python3.10  python3.10                                [.] 0x000000000015d640
     0.09%  python3.10  python3.10                                [.] 0x0000000000189080
     0.09%  python3.10  python3.10                                [.] PyMem_Realloc
     0.09%  python3.10  python3.10                                [.] 0x000000000025b534
     0.09%  python3.10  python3.10                                [.] 0x000000000017c3ef
     0.09%  python3.10  python3.10                                [.] 0x00000000002942bc
     0.09%  python3.10  [kernel.kallsyms]                         [k] enqueue_entity
     0.09%  python3.10  python3.10                                [.] 0x0000000000137ba2
     0.09%  python3.10  python3.10                                [.] 0x000000000017c6e9
     0.09%  python3.10  python3.10                                [.] 0x00000000002d9edb
     0.09%  python3.10  [kernel.kallsyms]                         [k] native_write_msr
     0.09%  python3.10  python3.10                                [.] 0x00000000001522f9
     0.09%  python3.10  [kernel.kallsyms]                         [k] enqueue_timer
     0.09%  python3.10  python3.10                                [.] _PyUnicodeWriter_Finish
     0.08%  python3.10  [kernel.kallsyms]                         [k] fpregs_assert_state_consistent
     0.08%  python3.10  [kernel.kallsyms]                         [k] perf_pmu_nop_int
     0.08%  python3.10  python3.10                                [.] 0x00000000001228c3
     0.08%  python3.10  [kernel.kallsyms]                         [k] wait_woken
     0.08%  python3.10  python3.10                                [.] 0x000000000017c402
     0.08%  python3.10  python3.10                                [.] 0x000000000018d60c
     0.08%  python3.10  libcrypto.so.3                            [.] 0x0000000000307c09
     0.08%  python3.10  python3.10                                [.] 0x0000000000206969
     0.08%  python3.10  python3.10                                [.] 0x000000000015ef9a
     0.08%  python3.10  python3.10                                [.] 0x0000000000169ae7
     0.08%  python3.10  python3.10                                [.] 0x000000000015d9eb
     0.08%  python3.10  libc.so.6                                 [.] 0x0000000000199c00
     0.08%  python3.10  libcrypto.so.3                            [.] 0x0000000000303a87
     0.08%  python3.10  python3.10                                [.] 0x000000000017a8e0
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_event_data_recv
     0.08%  python3.10  [kernel.kallsyms]                         [k] do_softirq
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_parse_md5sig_option
     0.08%  python3.10  python3.10                                [.] 0x00000000001d4924
     0.08%  python3.10  python3.10                                [.] 0x0000000000122932
     0.08%  python3.10  libcrypto.so.3                            [.] 0x000000000030824d
     0.08%  python3.10  python3.10                                [.] 0x0000000000150bcb
     0.08%  python3.10  python3.10                                [.] 0x00000000001d48d6
     0.08%  python3.10  python3.10                                [.] 0x0000000000293e61
     0.08%  python3.10  python3.10                                [.] 0x000000000018d1dd
     0.08%  python3.10  libcrypto.so.3                            [.] EVP_MD_CTX_new
     0.08%  python3.10  python3.10                                [.] 0x0000000000179536
     0.08%  python3.10  [kernel.kallsyms]                         [k] mod_timer
     0.08%  python3.10  python3.10                                [.] 0x000000000018d57a
     0.08%  python3.10  [kernel.kallsyms]                         [k] __fget_light
     0.08%  python3.10  [kernel.kallsyms]                         [k] prepare_task_switch
     0.08%  python3.10  [kernel.kallsyms]                         [k] schedule
     0.08%  python3.10  [vdso]                                    [.] 0x00000000000007f7
     0.08%  python3.10  python3.10                                [.] 0x0000000000137a64
     0.08%  python3.10  python3.10                                [.] 0x000000000027e8a0
     0.08%  python3.10  python3.10                                [.] 0x000000000018bfe5
     0.08%  python3.10  python3.10                                [.] 0x000000000018bf7c
     0.08%  python3.10  python3.10                                [.] 0x000000000015b520
     0.08%  python3.10  python3.10                                [.] 0x000000000016a3e9
     0.08%  python3.10  [kernel.kallsyms]                         [k] apparmor_socket_sendmsg
     0.08%  python3.10  python3.10                                [.] 0x0000000000127ffe
     0.08%  python3.10  [kernel.kallsyms]                         [k] security_sock_rcv_skb
     0.08%  python3.10  python3.10                                [.] 0x000000000020bf4c
     0.08%  python3.10  [kernel.kallsyms]                         [k] blkcg_maybe_throttle_current
     0.08%  python3.10  [kernel.kallsyms]                         [k] aa_label_next_confined
     0.08%  python3.10  libcrypto.so.3                            [.] 0x0000000000307e70
     0.08%  python3.10  python3.10                                [.] 0x0000000000169ae0
     0.08%  python3.10  python3.10                                [.] PyUnicode_RichCompare
     0.08%  python3.10  python3.10                                [.] 0x000000000015b557
     0.08%  python3.10  python3.10                                [.] 0x000000000015b54f
     0.08%  python3.10  [kernel.kallsyms]                         [k] __softirqentry_text_start
     0.08%  python3.10  python3.10                                [.] 0x000000000018d1e7
     0.08%  python3.10  python3.10                                [.] 0x00000000001522e0
     0.08%  python3.10  [kernel.kallsyms]                         [k] ctx_sched_in
     0.08%  python3.10  python3.10                                [.] 0x000000000018d592
     0.08%  python3.10  libc.so.6                                 [.] 0x00000000001a1100
     0.08%  python3.10  _hashlib.cpython-310-x86_64-linux-gnu.so  [.] 0x0000000000006760
     0.08%  python3.10  python3.10                                [.] 0x0000000000143445
     0.08%  python3.10  python3.10                                [.] 0x000000000018d151
     0.08%  python3.10  python3.10                                [.] 0x0000000000287060
     0.08%  python3.10  libcrypto.so.3                            [.] 0x0000000000307229
     0.08%  python3.10  [kernel.kallsyms]                         [k] ktime_get
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_ack
     0.08%  python3.10  python3.10                                [.] 0x0000000000167dcb
     0.08%  python3.10  python3.10                                [.] 0x00000000001894ba
     0.08%  python3.10  python3.10                                [.] 0x0000000000293f66
     0.08%  python3.10  python3.10                                [.] _Py_Dealloc
     0.08%  python3.10  python3.10                                [.] 0x0000000000179538
     0.08%  python3.10  python3.10                                [.] 0x0000000000180ada
     0.08%  python3.10  python3.10                                [.] 0x000000000018d753
     0.08%  python3.10  libcrypto.so.3                            [.] EVP_MD_free
     0.08%  python3.10  python3.10                                [.] 0x0000000000179584
     0.08%  python3.10  [kernel.kallsyms]                         [k] ip_local_deliver
     0.08%  python3.10  python3.10                                [.] 0x000000000015ef86
     0.08%  python3.10  python3.10                                [.] 0x00000000002b3a8a
     0.08%  python3.10  python3.10                                [.] PyObject_GC_UnTrack
     0.08%  python3.10  python3.10                                [.] 0x0000000000159c22
     0.08%  python3.10  python3.10                                [.] 0x00000000001b0600
     0.08%  python3.10  libcrypto.so.3                            [.] 0x00000000003083a3
     0.08%  python3.10  libcrypto.so.3                            [.] 0x0000000000307982
     0.08%  python3.10  [kernel.kallsyms]                         [k] skb_page_frag_refill
     0.08%  python3.10  python3.10                                [.] 0x00000000001732ca
     0.08%  python3.10  python3.10                                [.] 0x000000000018d1fd
     0.08%  python3.10  python3.10                                [.] 0x00000000000b643e
     0.08%  python3.10  python3.10                                [.] 0x00000000001522ef
     0.08%  python3.10  python3.10                                [.] 0x000000000017c393
     0.08%  python3.10  python3.10                                [.] 0x000000000014f6d4
     0.08%  python3.10  [kernel.kallsyms]                         [k] irqentry_exit_to_user_mode
     0.08%  python3.10  python3.10                                [.] 0x0000000000156811
     0.08%  python3.10  python3.10                                [.] 0x000000000018d555
     0.08%  python3.10  python3.10                                [.] 0x000000000029429f
     0.08%  python3.10  python3.10                                [.] 0x000000000018d0d5
     0.08%  python3.10  python3.10                                [.] 0x000000000015b50e
     0.08%  python3.10  python3.10                                [.] 0x00000000002b6a20
     0.08%  python3.10  python3.10                                [.] 0x000000000020bf48
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_clean_rtx_queue.constprop.0
     0.08%  python3.10  [vdso]                                    [.] 0x00000000000006e8
     0.08%  python3.10  python3.10                                [.] 0x00000000001508a2
     0.08%  python3.10  python3.10                                [.] 0x000000000015b564
     0.08%  python3.10  python3.10                                [.] 0x000000000017a8d8
     0.08%  python3.10  python3.10                                [.] 0x00000000001795b3
     0.08%  python3.10  python3.10                                [.] 0x0000000000133924
     0.08%  python3.10  [kernel.kallsyms]                         [k] netdev_core_pick_tx
     0.08%  python3.10  [kernel.kallsyms]                         [k] futex_wait
     0.08%  python3.10  python3.10                                [.] 0x000000000018c00b
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_newly_delivered
     0.08%  python3.10  libcrypto.so.3                            [.] 0x000000000017d730
     0.08%  python3.10  python3.10                                [.] 0x0000000000070990
     0.08%  python3.10  python3.10                                [.] 0x000000000017a8c3
     0.08%  python3.10  python3.10                                [.] 0x000000000014347d
     0.08%  python3.10  python3.10                                [.] _Py_NewReference
     0.08%  python3.10  python3.10                                [.] 0x000000000018bf76
     0.08%  python3.10  [kernel.kallsyms]                         [k] tcp_schedule_loss_probe
     0.08%  python3.10  [kernel.kallsyms]                         [k] kmem_cache_free
     0.07%  python3.10  libcrypto.so.3                            [.] 0x00000000000b30a4
     0.07%  python3.10  [kernel.kallsyms]                         [k] kfence_ksize
     0.07%  python3.10  python3.10                                [.] 0x00000000002942ff
