# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cycles'
# Event count (approx.): 3644469081
#
# Overhead  Command     Shared Object      Symbol                                      
# ........  ..........  .................  ............................................
#
     0.05%  python3.10  [kernel.kallsyms]  [k] inherit_event.constprop.0
     0.04%  python3.10  [kernel.kallsyms]  [k] __calc_delta
     0.04%  python3.10  libc.so.6          [.] __strcat_ssse3
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_update_time
     0.04%  python3.10  python3.10         [.] PyObject_GetAttr
     0.04%  python3.10  python3.10         [.] 0x0000000000121599
     0.04%  python3.10  [kernel.kallsyms]  [k] __update_load_avg_se
     0.04%  python3.10  [kernel.kallsyms]  [k] try_to_wake_up
     0.04%  python3.10  [kernel.kallsyms]  [k] restore_fpregs_from_fpstate
     0.04%  python3.10  [kernel.kallsyms]  [k] update_cfs_group
     0.04%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_apic_timer_interrupt
     0.04%  python3.10  python3.10         [.] 0x0000000000121594
     0.04%  python3.10  [kernel.kallsyms]  [k] __x64_sys_futex
     0.04%  python3.10  [kernel.kallsyms]  [k] visit_groups_merge.constprop.0.isra.0
     0.04%  python3.10  [kernel.kallsyms]  [k] perf_event_update_userpage
     0.04%  python3.10  python3.10         [.] _PyObject_GenericGetAttrWithDict
     0.04%  python3.10  [kernel.kallsyms]  [k] native_write_msr_safe
     0.04%  python3.10  [kernel.kallsyms]  [k] __perf_event_task_sched_in
     0.04%  python3.10  libc.so.6          [.] __stpncpy_sse2_unaligned
     0.04%  python3.10  python3.10         [.] 0x00000000001795d6
     0.03%  python3.10  python3.10         [.] 0x0000000000137b1b
     0.03%  python3.10  [kernel.kallsyms]  [k] irqentry_exit_to_user_mode
     0.03%  python3.10  [kernel.kallsyms]  [k] sched_clock_cpu
     0.03%  python3.10  [kernel.kallsyms]  [k] do_syscall_64
     0.03%  python3.10  python3.10         [.] 0x000000000015b546
     0.03%  python3.10  [kernel.kallsyms]  [k] rb_insert_color
     0.03%  python3.10  python3.10         [.] 0x0000000000188dfe
     0.03%  python3.10  [kernel.kallsyms]  [k] __hrtimer_run_queues
     0.03%  python3.10  [kernel.kallsyms]  [k] ctx_sched_in
     0.03%  python3.10  [kernel.kallsyms]  [k] native_flush_tlb_one_user
     0.03%  python3.10  [kernel.kallsyms]  [k] psi_task_switch
     0.03%  python3.10  [kernel.kallsyms]  [k] futex_wait
     0.03%  python3.10  python3.10         [.] 0x000000000018d589
     0.03%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irqsave
     0.03%  python3.10  python3.10         [.] _PyUnicode_JoinArray
     0.03%  python3.10  [kernel.kallsyms]  [k] x86_pmu_event_init
     0.03%  python3.10  libc.so.6          [.] 0x00000000001a0951
     0.03%  python3.10  python3.10         [.] 0x0000000000137aa0
     0.03%  python3.10  python3.10         [.] PyFunction_NewWithQualName
     0.03%  python3.10  [kernel.kallsyms]  [k] perf_swevent_add
     0.03%  python3.10  [kernel.kallsyms]  [k] hash_futex
     0.03%  python3.10  [kernel.kallsyms]  [k] futex_wake
     0.03%  python3.10  [kernel.kallsyms]  [k] unmap_page_range
     0.03%  python3.10  [kernel.kallsyms]  [k] native_write_msr
     0.03%  python3.10  python3.10         [.] 0x0000000000206a23
     0.02%  python3.10  python3.10         [.] _PyFunction_Vectorcall
     0.02%  python3.10  python3.10         [.] 0x00000000001215df
     0.02%  python3.10  python3.10         [.] 0x0000000000122820
     0.02%  python3.10  [kernel.kallsyms]  [k] sync_regs
     0.02%  python3.10  [kernel.kallsyms]  [k] raw_spin_rq_lock_nested
     0.02%  python3.10  [kernel.kallsyms]  [k] psi_flags_change
     0.02%  python3.10  [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.02%  python3.10  python3.10         [.] PyLong_FromString
     0.02%  python3.10  python3.10         [.] PyTuple_New
     0.02%  python3.10  [kernel.kallsyms]  [k] __schedule
     0.02%  python3.10  libc.so.6          [.] ____wcstod_l_internal
     0.02%  python3.10  [kernel.kallsyms]  [k] pick_next_task
     0.02%  python3.10  python3.10         [.] 0x0000000000137a88
     0.02%  python3.10  python3.10         [.] 0x0000000000174090
     0.02%  python3.10  python3.10         [.] 0x000000000018d5a1
     0.02%  python3.10  [kernel.kallsyms]  [k] switch_fpu_return
     0.02%  python3.10  python3.10         [.] 0x0000000000121623
     0.02%  python3.10  [kernel.kallsyms]  [k] alloc_vmap_area
     0.02%  python3.10  python3.10         [.] 0x000000000017f87a
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_event_task_output
     0.02%  python3.10  python3.10         [.] 0x000000000015efdc
     0.02%  python3.10  [kernel.kallsyms]  [k] futex_wait_queue_me
     0.02%  python3.10  python3.10         [.] 0x00000000001740bb
     0.02%  python3.10  python3.10         [.] 0x000000000020bf65
     0.02%  python3.10  [kernel.kallsyms]  [k] css_set_move_task
     0.02%  python3.10  [kernel.kallsyms]  [k] perf_output_copy
     0.02%  python3.10  libc.so.6          [.] 0x000000000019d300
     0.02%  python3.10  python3.10         [.] 0x0000000000137a99
     0.02%  python3.10  python3.10         [.] 0x0000000000179570
     0.02%  python3.10  python3.10         [.] 0x000000000018d077
     0.02%  python3.10  python3.10         [.] 0x000000000018d233
     0.02%  python3.10  python3.10         [.] 0x000000000015efc7
     0.02%  python3.10  python3.10         [.] _PyUnicode_ToDecimalDigit
     0.02%  python3.10  [kernel.kallsyms]  [k] __mod_lruvec_page_state
     0.02%  python3.10  [kernel.kallsyms]  [k] __entry_text_start
     0.02%  python3.10  [kernel.kallsyms]  [k] enqueue_entity
     0.02%  python3.10  python3.10         [.] PyList_Append
     0.02%  python3.10  [kernel.kallsyms]  [k] hrtimer_start_range_ns
     0.02%  python3.10  [kernel.kallsyms]  [k] intel_pmu_hw_config.part.0
     0.02%  python3.10  [kernel.kallsyms]  [k] select_idle_sibling
     0.02%  python3.10  python3.10         [.] 0x000000000015bb20
     0.02%  python3.10  python3.10         [.] 0x000000000015ef78
     0.02%  python3.10  python3.10         [.] 0x00000000001732de
     0.02%  python3.10  python3.10         [.] 0x000000000018d599
     0.02%  python3.10  python3.10         [.] 0x000000000018dcbd
     0.02%  python3.10  python3.10         [.] 0x000000000011d4fc
     0.02%  python3.10  libc.so.6          [.] __memmove_sse2_unaligned_erms
     0.02%  python3.10  [kernel.kallsyms]  [k] rmqueue
     0.02%  python3.10  python3.10         [.] 0x000000000011b311
     0.02%  python3.10  [kernel.kallsyms]  [k] find_vma_prev
     0.02%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock_irq
     0.01%  python3.10  python3.10         [.] 0x000000000011b2fa
     0.01%  python3.10  [kernel.kallsyms]  [k] schedule
     0.01%  python3.10  [kernel.kallsyms]  [k] native_sched_clock
     0.01%  python3.10  [kernel.kallsyms]  [k] sched_slice
     0.01%  python3.10  python3.10         [.] 0x00000000001385cf
     0.01%  python3.10  [kernel.kallsyms]  [k] zap_pte_range
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_pmu_nop_int
     0.01%  python3.10  [kernel.kallsyms]  [k] lapic_next_deadline
     0.01%  python3.10  [kernel.kallsyms]  [k] asm_sysvec_thermal
     0.01%  python3.10  [kernel.kallsyms]  [k] get_futex_key
     0.01%  python3.10  python3.10         [.] 0x000000000012159d
     0.01%  python3.10  [kernel.kallsyms]  [k] idle_cpu
     0.01%  python3.10  [kernel.kallsyms]  [k] mutex_lock
     0.01%  python3.10  [kernel.kallsyms]  [k] tick_sched_timer
     0.01%  python3.10  [kernel.kallsyms]  [k] taskstats_exit
     0.01%  python3.10  [kernel.kallsyms]  [k] delayacct_add_tsk
     0.01%  python3.10  [kernel.kallsyms]  [k] free_unref_page_list
     0.01%  python3.10  python3.10         [.] 0x0000000000167e17
     0.01%  python3.10  [kernel.kallsyms]  [k] update_curr
     0.01%  python3.10  python3.10         [.] _PyLong_New
     0.01%  python3.10  [kernel.kallsyms]  [k] zap_pmd_range.isra.0
     0.01%  python3.10  [kernel.kallsyms]  [k] psi_task_change
     0.01%  python3.10  [kernel.kallsyms]  [k] enqueue_task_fair
     0.01%  python3.10  [kernel.kallsyms]  [k] lockless_pages_from_mm
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_thermal_enabled
     0.01%  python3.10  [kernel.kallsyms]  [k] rseq_get_rseq_cs.isra.0
     0.01%  python3.10  [kernel.kallsyms]  [k] __pagevec_lru_add_fn
     0.01%  python3.10  [kernel.kallsyms]  [k] __mod_memcg_lruvec_state
     0.01%  python3.10  [kernel.kallsyms]  [k] uprobe_free_utask
     0.01%  python3.10  [kernel.kallsyms]  [k] membarrier_update_current_mm
     0.01%  python3.10  [kernel.kallsyms]  [k] _raw_spin_lock
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_pmu_disable
     0.01%  python3.10  [kernel.kallsyms]  [k] prepare_task_switch
     0.01%  python3.10  python3.10         [.] 0x00000000001215c0
     0.01%  python3.10  [kernel.kallsyms]  [k] copy_user_enhanced_fast_string
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_event__id_header_size
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_reserve_hardware
     0.01%  python3.10  libc.so.6          [.] str_to_mpn
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a1100
     0.01%  python3.10  libcrypto.so.3     [.] 0x0000000000307316
     0.01%  python3.10  libcrypto.so.3     [.] 0x000000000030761c
     0.01%  python3.10  libcrypto.so.3     [.] 0x0000000000307ed0
     0.01%  python3.10  python3.10         [.] PyObject_Malloc
     0.01%  python3.10  python3.10         [.] _PyUnicode_FromId
     0.01%  python3.10  python3.10         [.] 0x0000000000152275
     0.01%  python3.10  python3.10         [.] 0x000000000015b21b
     0.01%  python3.10  python3.10         [.] 0x000000000015b568
     0.01%  python3.10  python3.10         [.] 0x000000000017f981
     0.01%  python3.10  python3.10         [.] 0x0000000000188d49
     0.01%  python3.10  python3.10         [.] 0x0000000000188e0a
     0.01%  python3.10  python3.10         [.] 0x0000000000188efb
     0.01%  python3.10  python3.10         [.] 0x0000000000189853
     0.01%  python3.10  python3.10         [.] 0x000000000018d185
     0.01%  python3.10  python3.10         [.] 0x000000000020beb4
     0.01%  python3.10  python3.10         [.] 0x0000000000294ef6
     0.01%  python3.10  [kernel.kallsyms]  [k] select_task_rq_fair
     0.01%  python3.10  [vdso]             [.] __vdso_clock_gettime
     0.01%  python3.10  [kernel.kallsyms]  [k] update_min_vruntime
     0.01%  python3.10  [kernel.kallsyms]  [k] try_grab_compound_head
     0.01%  python3.10  python3.10         [.] 0x000000000015b15c
     0.01%  python3.10  [kernel.kallsyms]  [k] fpregs_assert_state_consistent
     0.01%  python3.10  python3.10         [.] _PyDict_DelItem_KnownHash
     0.01%  python3.10  [kernel.kallsyms]  [k] check_cpu_stall
     0.01%  python3.10  [kernel.kallsyms]  [k] rcu_core
     0.01%  python3.10  [kernel.kallsyms]  [k] dequeue_task_fair
     0.01%  python3.10  [kernel.kallsyms]  [k] rcu_sched_clock_irq
     0.01%  python3.10  [kernel.kallsyms]  [k] do_futex
     0.01%  python3.10  [kernel.kallsyms]  [k] ___perf_sw_event
     0.01%  python3.10  [kernel.kallsyms]  [k] hrtimer_wakeup
     0.01%  python3.10  python3.10         [.] 0x00000000002d0480
     0.01%  python3.10  [kernel.kallsyms]  [k] __hrtimer_next_event_base
     0.01%  python3.10  [kernel.kallsyms]  [k] hsw_hw_config
     0.01%  python3.10  python3.10         [.] 0x0000000000188e9f
     0.01%  python3.10  python3.10         [.] 0x0000000000277595
     0.01%  python3.10  python3.10         [.] 0x00000000000700d0
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a1233
     0.01%  python3.10  libc.so.6          [.] 0x0000000000198b02
     0.01%  python3.10  [kernel.kallsyms]  [k] put_prev_entity
     0.01%  python3.10  python3.10         [.] 0x000000000018d22d
     0.01%  python3.10  python3.10         [.] 0x00000000001740b3
     0.01%  python3.10  [kernel.kallsyms]  [k] rb_erase
     0.01%  python3.10  python3.10         [.] PyObject_GC_Del
     0.01%  python3.10  python3.10         [.] 0x000000000020bea0
     0.01%  python3.10  python3.10         [.] 0x0000000000188df0
     0.01%  python3.10  [kernel.kallsyms]  [k] rseq_ip_fixup
     0.01%  python3.10  [kernel.kallsyms]  [k] read_tsc
     0.01%  python3.10  python3.10         [.] 0x0000000000151d87
     0.01%  python3.10  python3.10         [.] PyDict_GetItemWithError
     0.01%  python3.10  python3.10         [.] 0x0000000000152354
     0.01%  python3.10  [kernel.kallsyms]  [k] __count_memcg_events
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a0986
     0.01%  python3.10  python3.10         [.] 0x0000000000122674
     0.01%  python3.10  python3.10         [.] 0x00000000001228ac
     0.01%  python3.10  python3.10         [.] 0x00000000001228f6
     0.01%  python3.10  python3.10         [.] 0x0000000000128097
     0.01%  python3.10  python3.10         [.] 0x00000000001508c4
     0.01%  python3.10  python3.10         [.] 0x000000000015ef70
     0.01%  python3.10  python3.10         [.] 0x00000000001795ae
     0.01%  python3.10  python3.10         [.] 0x000000000018d25c
     0.01%  python3.10  python3.10         [.] 0x0000000000206841
     0.01%  python3.10  [kernel.kallsyms]  [k] mem_cgroup_handle_over_high
     0.01%  python3.10  [kernel.kallsyms]  [k] __lock_text_start
     0.01%  python3.10  python3.10         [.] 0x000000000028b905
     0.01%  python3.10  python3.10         [.] 0x000000000029c9c0
     0.01%  python3.10  [kernel.kallsyms]  [k] update_sg_wakeup_stats
     0.01%  python3.10  libc.so.6          [.] __strncat_ssse3
     0.01%  python3.10  python3.10         [.] 0x00000000002942c1
     0.01%  python3.10  [kernel.kallsyms]  [k] __cgroup_account_cputime
     0.01%  python3.10  [kernel.kallsyms]  [k] select_estimate_accuracy
     0.01%  python3.10  [kernel.kallsyms]  [k] slab_free_freelist_hook.constprop.0
     0.01%  python3.10  python3.10         [.] 0x000000000015effa
     0.01%  python3.10  python3.10         [.] 0x000000000016abd7
     0.01%  python3.10  python3.10         [.] 0x000000000018c0a9
     0.01%  python3.10  python3.10         [.] 0x000000000018d098
     0.01%  python3.10  python3.10         [.] 0x00000000001d4955
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_pmu_enable
     0.01%  python3.10  [kernel.kallsyms]  [k] __mutex_init
     0.01%  python3.10  [kernel.kallsyms]  [k] set_normalized_timespec64
     0.01%  python3.10  python3.10         [.] 0x000000000017f864
     0.01%  python3.10  python3.10         [.] 0x000000000018d1b7
     0.01%  python3.10  python3.10         [.] 0x000000000018d1dd
     0.01%  python3.10  python3.10         [.] 0x0000000000277454
     0.01%  python3.10  python3.10         [.] PyNumber_AsSsize_t
     0.01%  python3.10  [kernel.kallsyms]  [k] get_mem_cgroup_from_mm
     0.01%  python3.10  [kernel.kallsyms]  [k] idr_alloc_u32
     0.01%  python3.10  [kernel.kallsyms]  [k] kmem_cache_alloc_trace
     0.01%  python3.10  python3.10         [.] 0x00000000001228c0
     0.01%  python3.10  [kernel.kallsyms]  [k] __get_user_8
     0.01%  python3.10  [kernel.kallsyms]  [k] get_nohz_timer_target
     0.01%  python3.10  python3.10         [.] 0x0000000000129c60
     0.01%  python3.10  python3.10         [.] 0x000000000015f00e
     0.01%  python3.10  python3.10         [.] 0x00000000001732fc
     0.01%  python3.10  [kernel.kallsyms]  [k] wp_page_copy
     0.01%  python3.10  python3.10         [.] 0x00000000002b69dd
     0.01%  python3.10  libcrypto.so.3     [.] CRYPTO_clear_free
     0.01%  python3.10  python3.10         [.] 0x0000000000151deb
     0.01%  python3.10  libcrypto.so.3     [.] EVP_MD_CTX_new
     0.01%  python3.10  [kernel.kallsyms]  [k] dequeue_task
     0.01%  python3.10  libcrypto.so.3     [.] 0x000000000030740f
     0.01%  python3.10  python3.10         [.] 0x000000000020bef5
     0.01%  python3.10  [kernel.kallsyms]  [k] __irqentry_text_end
     0.01%  python3.10  [kernel.kallsyms]  [k] intel_cpuc_finish
     0.01%  python3.10  [kernel.kallsyms]  [k] mem_cgroup_charge_statistics.constprop.0
     0.01%  python3.10  [kernel.kallsyms]  [k] memcg_slab_post_alloc_hook
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_event_groups_insert
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a09cb
     0.01%  python3.10  python3.10         [.] 0x0000000000151ee2
     0.01%  python3.10  python3.10         [.] 0x0000000000188dd7
     0.01%  python3.10  python3.10         [.] 0x000000000023ec62
     0.01%  python3.10  python3.10         [.] 0x0000000000206cd5
     0.01%  python3.10  python3.10         [.] 0x000000000011d558
     0.01%  python3.10  python3.10         [.] 0x0000000000137af0
     0.01%  python3.10  python3.10         [.] 0x000000000015b541
     0.01%  python3.10  python3.10         [.] 0x000000000015d273
     0.01%  python3.10  python3.10         [.] 0x000000000018d964
     0.01%  python3.10  python3.10         [.] 0x00000000002068ca
     0.01%  python3.10  python3.10         [.] 0x0000000000206a3f
     0.01%  python3.10  python3.10         [.] 0x00000000002b6a17
     0.01%  python3.10  libc.so.6          [.] re_search_internal
     0.01%  python3.10  [kernel.kallsyms]  [k] calc_timer_values
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_log_itrace_start
     0.01%  python3.10  python3.10         [.] PyObject_SetAttr
     0.01%  python3.10  python3.10         [.] 0x0000000000164d60
     0.01%  python3.10  python3.10         [.] 0x0000000000188d97
     0.01%  python3.10  python3.10         [.] 0x000000000018c045
     0.01%  python3.10  python3.10         [.] 0x0000000000235400
     0.01%  python3.10  python3.10         [.] 0x0000000000243814
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a0970
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_get_event_constraints
     0.01%  python3.10  python3.10         [.] 0x0000000000121757
     0.01%  python3.10  python3.10         [.] 0x000000000012d096
     0.01%  python3.10  python3.10         [.] 0x0000000000137ac9
     0.01%  python3.10  python3.10         [.] 0x0000000000137ad2
     0.01%  python3.10  python3.10         [.] 0x000000000017f97d
     0.01%  python3.10  python3.10         [.] 0x00000000001893e0
     0.01%  python3.10  python3.10         [.] 0x000000000018bf8d
     0.01%  python3.10  python3.10         [.] 0x000000000018d735
     0.01%  python3.10  python3.10         [.] 0x00000000001d495d
     0.01%  python3.10  python3.10         [.] 0x000000000027748b
     0.01%  python3.10  python3.10         [.] 0x00000000001598e3
     0.01%  python3.10  python3.10         [.] 0x000000000015ffb4
     0.01%  python3.10  python3.10         [.] 0x000000000018d596
     0.01%  python3.10  libcrypto.so.3     [.] 0x000000000017dcc0
     0.01%  python3.10  python3.10         [.] _Py_HashBytes
     0.01%  python3.10  libcrypto.so.3     [.] 0x0000000000308394
     0.01%  python3.10  python3.10         [.] 0x0000000000277673
     0.01%  python3.10  libcrypto.so.3     [.] 0x000000000017d7b8
     0.01%  python3.10  [kernel.kallsyms]  [k] x86_setup_perfctr
     0.01%  python3.10  libc.so.6          [.] __vstrfmon_l_internal
     0.01%  python3.10  python3.10         [.] 0x0000000000156650
     0.01%  python3.10  [kernel.kallsyms]  [k] kfree
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_lock_task_context
     0.01%  python3.10  [kernel.kallsyms]  [k] vmacache_find
     0.01%  python3.10  python3.10         [.] _PyType_Lookup
     0.01%  python3.10  python3.10         [.] 0x000000000015ef74
     0.01%  python3.10  python3.10         [.] 0x0000000000167da0
     0.01%  python3.10  python3.10         [.] 0x0000000000295008
     0.01%  python3.10  python3.10         [.] 0x00000000001d93ea
     0.01%  python3.10  python3.10         [.] 0x0000000000169ab6
     0.01%  python3.10  python3.10         [.] _PyTime_GetSystemClock
     0.01%  python3.10  python3.10         [.] 0x0000000000244441
     0.01%  python3.10  python3.10         [.] 0x0000000000151d80
     0.01%  python3.10  libcrypto.so.3     [.] OPENSSL_init_crypto
     0.01%  python3.10  python3.10         [.] 0x00000000001434c6
     0.01%  python3.10  libm.so.6          [.] __gammaf_r_finite@GLIBC_2.15
     0.01%  python3.10  python3.10         [.] 0x00000000000707a0
     0.01%  python3.10  python3.10         [.] 0x0000000000151eed
     0.01%  python3.10  python3.10         [.] 0x000000000018d12a
     0.01%  python3.10  python3.10         [.] PyUnicode_New
     0.01%  python3.10  python3.10         [.] PyUnicode_Format
     0.01%  python3.10  python3.10         [.] 0x000000000016a5a8
     0.01%  python3.10  libcrypto.so.3     [.] 0x00000000003070e3
     0.01%  python3.10  [kernel.kallsyms]  [k] perf_iterate_ctx
     0.01%  python3.10  [kernel.kallsyms]  [k] clear_page_erms
     0.01%  python3.10  libc.so.6          [.] 0x00000000001a09c0
     0.01%  python3.10  python3.10         [.] 0x000000000018d63d
     0.01%  python3.10  python3.10         [.] 0x00000000002b69c0
     0.01%  python3.10  python3.10         [.] 0x000000000012e093
     0.01%  python3.10  [kernel.kallsyms]  [k] inherit_task_group.isra.0
     0.01%  python3.10  python3.10         [.] 0x00000000001d48f3
     0.01%  python3.10  python3.10         [.] 0x00000000002d0731
     0.01%  python3.10  python3.10         [.] 0x0000000000070994
     0.01%  python3.10  libc.so.6          [.] parse_expression
     0.01%  python3.10  [kernel.kallsyms]  [k] __cond_resched
     0.01%  python3.10  python3.10         [.] 0x0000000000133910
     0.01%  python3.10  [kernel.kallsyms]  [k] update_rq_clock
     0.01%  python3.10  python3.10         [.] 0x0000000000151df2
     0.01%  python3.10  python3.10         [.] 0x000000000018d151
     0.01%  python3.10  [kernel.kallsyms]  [k] find_vma
     0.01%  python3.10  [kernel.kallsyms]  [k] try_charge_memcg
     0.01%  python3.10  python3.10         [.] 0x00000000001523b8
     0.01%  python3.10  python3.10         [.] 0x0000000000188e21
     0.01%  python3.10  [kernel.kallsyms]  [k] dequeue_entity
     0.01%  python3.10  python3.10         [.] 0x0000000000293eac
     0.01%  python3.10  [kernel.kallsyms]  [k] intel_get_event_constraints
     0.01%  python3.10  [kernel.kallsyms]  [k] pick_next_task_fair
     0.01%  python3.10  python3.10         [.] 0x0000000000121653
     0.01%  python3.10  python3.10         [.] 0x0000000000122877
     0.01%  python3.10  python3.10         [.] 0x000000000018d162
     0.01%  python3.10  python3.10         [.] 0x0000000000206576
     0.01%  python3.10  python3.10         [.] 0x0000000000294f27
     0.01%  python3.10  python3.10         [.] 0x000000000018d562
     0.01%  python3.10  python3.10         [.] 0x000000000020bec2
     0.01%  python3.10  python3.10         [.] PyThread_start_new_thread
     0.01%  python3.10  python3.10         [.] 0x000000000012d0b4
     0.01%  python3.10  python3.10         [.] 0x0000000000151e66
     0.01%  python3.10  python3.10         [.] 0x00000000001795e5
     0.01%  python3.10  python3.10         [.] 0x00000000002942ff
     0.01%  python3.10  libc.so.6          [.] parse_qtd_backslash
     0.01%  python3.10  python3.10         [.] 0x0000000000137b4f
     0.01%  python3.10  python3.10         [.] 0x000000000018dd36
     0.01%  python3.10  [kernel.kallsyms]  [k] __kmalloc_node
     0.01%  python3.10  [kernel.kallsyms]  [k] copy_user_generic_unrolled
     0.01%  python3.10  python3.10         [.] PyErr_Restore
     0.01%  python3.10  python3.10         [.] 0x00000000001d48d0
     0.01%  python3.10  python3.10         [.] 0x0000000000206c1b
     0.01%  python3.10  python3.10         [.] 0x0000000000188d36
     0.01%  python3.10  python3.10         [.] 0x0000000000206c54
     0.01%  python3.10  [kernel.kallsyms]  [k] chacha_permute
     0.01%  python3.10  python3.10         [.] _PyUnicodeWriter_Init
     0.01%  python3.10  python3.10         [.] 0x000000000017c3fc
     0.01%  python3.10  python3.10         [.] _PyStack_AsDict
     0.00%  python3.10  python3.10         [.] 0x000000000015085e
     0.00%  python3.10  python3.10         [.] 0x0000000000206b1a
